Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,1343,1000,913,0,1779159102829,1779159102918,7114652,6501301,0
2,0,2263,1000,844,67,1779159104837,1779159104945,6312560,5238026,503429
3,0,4454,1000,882,35,1779159106830,1779159106951,4405376,3838048,202947
4,0,4535,1000,893,3,1779159108834,1779159108986,5464083,4888092,20254
5,0,4698,1000,893,14,1779159110833,1779159110950,6208875,5531739,103834
6,0,5022,1000,836,48,1779159112837,1779159113013,7963597,6524279,534455
7,0,7094,1000,905,0,1779159114831,1779159114938,8875693,8032419,0
8,0,7714,1000,803,114,1779159116840,1779159117003,10965928,8239720,1876299
9,0,7793,1000,753,180,1779159118846,1779159120055,12371268,8721137,2875462
10,0,6890,1000,762,163,1779159120842,1779159122135,12207800,9178494,2130710
11,0,6045,1000,853,45,1779159122840,1779159123399,10933034,9270074,559744
12,0,5218,1000,815,101,1779159124840,1779159124959,11525570,9168700,1411656
13,0,5508,1000,873,26,1779159126844,1779159126983,12914571,11243470,371594
14,0,5484,1000,887,0,1779159128839,1779159128962,14187707,12584565,0
15,0,6059,1000,844,70,1779159130846,1779159131024,15406030,12776211,1320574
16,0,5375,1000,917,0,1779159132840,1779159132991,16609870,15229344,0
17,0,6138,1000,775,147,1779159134841,1779159135014,17363737,13623437,2366241
18,0,8191,1000,689,249,1779159136843,1779159137090,12314658,8106938,3479394
19,0,8524,1000,799,109,1779159138849,1779159138965,12055534,9511681,1457630
20,0,7869,1000,660,270,1779159140866,1779159140993,12413246,7978324,3580467
21,0,7438,1000,915,0,1779159142840,1779159143113,12190167,11153977,0
22,0,7681,1000,601,334,1779159144849,1779159144989,12325494,7063150,4524841
23,0,7093,1000,898,0,1779159146846,1779159147033,12757723,11456213,0
24,0,8141,1000,821,67,1779159148854,1779159148990,13812135,11228125,1053998
25,0,7397,1000,895,2,1779159150855,1779159150993,15184518,13582619,32336
26,0,6945,1000,907,0,1779159152846,1779159152963,16423097,14895774,0
