Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Broker1 Txs in this block,# of Broker2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Broker1 Txs) (Duration: Broker1 proposed -> Broker1 Commit)","SUM of confirm latency (ms, Broker2 Txs) (Duration: Broker2 proposed -> Broker2 Commit)"
1,0,95,127,127,0,1778167184055,1778167184118,256073,256073,0
2,0,47,154,114,40,1778167186056,1778167186139,541735,460027,81708
3,0,156,178,2,105,1778167188056,1778167188137,594422,12066,152459
4,0,88,237,0,81,1778167190059,1778167190148,1418031,0,161149
5,0,157,234,90,56,1778167192062,1778167192153,1033171,91242,57029
6,0,0,207,143,64,1778167194057,1778167194128,554682,427300,127382
7,0,83,144,0,8,1778167196056,1778167196152,691974,0,8024
8,0,63,193,0,52,1778167198059,1778167198200,1076112,0,79239
9,0,0,102,0,16,1778167200055,1778167200136,789424,0,15401
10,0,0,177,152,25,1778167202060,1778167202113,340774,292338,48436
11,0,0,128,29,36,1778167204061,1778167204152,415274,114841,48760
12,0,0,179,0,66,1778167206061,1778167206158,779972,0,102836
13,0,0,158,0,32,1778167208062,1778167208143,1032934,0,29546
14,0,0,60,1,45,1778167210060,1778167210126,225598,879,85545
15,0,0,138,41,59,1778167212063,1778167212143,309475,118695,79256
16,0,0,152,0,75,1778167214067,1778167214173,508653,0,127882
17,0,0,97,0,0,1778167216063,1778167216130,668599,0,0
18,0,0,70,0,0,1778167218061,1778167218147,623257,0,0
19,0,0,134,122,12,1778167220065,1778167220138,239720,224544,15176
20,0,0,127,0,19,1778167222065,1778167222148,453070,0,34846
21,0,0,152,0,43,1778167224066,1778167224142,697400,0,59171
22,0,0,114,0,0,1778167226068,1778167226136,894126,0,0
23,0,22,93,60,0,1778167228067,1778167228137,373305,48500,0
24,0,25,127,105,22,1778167230067,1778167230135,338837,294529,44308
25,0,38,180,0,63,1778167232069,1778167232155,656015,0,89688
26,0,0,187,0,85,1778167234073,1778167234150,820743,0,124282
27,0,0,105,0,28,1778167236070,1778167236169,709652,0,28701
28,0,49,95,95,0,1778167238071,1778167238163,168433,168433,0
29,0,59,146,97,49,1778167240079,1778167240171,467046,366468,100578
30,0,55,216,0,79,1778167242075,1778167242183,940697,0,142542
31,0,0,200,0,88,1778167244074,1778167244181,1021400,0,146839
32,0,0,119,45,66,1778167246069,1778167246134,172919,30363,64527
33,0,0,179,157,22,1778167248074,1778167248154,454285,422813,31472
34,0,0,135,48,36,1778167250073,1778167250142,499609,224640,34344
35,0,0,163,0,63,1778167252074,1778167252117,768718,0,101110
36,0,0,90,0,20,1778167254071,1778167254125,625333,0,18260
37,0,0,94,83,11,1778167256072,1778167256107,146138,132336,13802
38,0,0,136,0,17,1778167258075,1778167258169,455241,0,16082
39,0,0,110,0,23,1778167260083,1778167260155,528090,0,35129
40,0,0,107,0,13,1778167262074,1778167262137,729560,0,11609
41,0,17,123,69,0,1778167264086,1778167264211,566563,42625,0
42,0,0,158,78,17,1778167266078,1778167266145,396971,198962,33524
43,0,0,139,0,15,1778167268080,1778167268144,590746,0,23480
44,0,0,131,0,28,1778167270081,1778167270171,728333,0,49527
45,0,0,61,0,13,1778167272079,1778167272201,426471,0,12986
46,0,1,81,28,0,1778167274078,1778167274136,123104,41969,0
47,0,1,110,0,1,1778167276085,1778167276188,391793,0,2080
48,0,0,105,0,3,1778167278084,1778167278177,570825,0,4184
49,0,0,87,0,0,1778167280080,1778167280149,654181,0,0
50,0,0,46,16,0,1778167282079,1778167282140,292316,7168,0
51,0,0,102,0,0,1778167284083,1778167284172,255919,0,0
52,0,0,94,0,2,1778167286083,1778167286157,414239,0,2024
53,0,0,107,0,0,1778167288093,1778167288169,693869,0,0
54,0,0,88,0,0,1778167290085,1778167290234,752010,0,0
55,0,65,87,87,0,1778167292085,1778167292150,122986,122986,0
56,0,0,119,7,65,1778167294088,1778167294136,314465,23786,129542
57,0,87,161,0,68,1778167296090,1778167296182,578368,0,69836
58,0,8,215,0,94,1778167298095,1778167298227,1095052,0,187264
59,0,49,136,41,12,1778167300088,1778167300199,823350,17253,20360
60,0,0,141,92,49,1778167302090,1778167302167,317066,219703,97363
61,0,0,144,67,77,1778167304091,1778167304175,406173,294425,111748
62,0,0,278,0,106,1778167306105,1778167306184,1279827,0,175328
63,0,67,199,0,73,1778167308364,1778167308446,1182668,0,89898
64,0,35,199,132,67,1778167310159,1778167310255,323428,186947,136481
65,0,30,212,0,90,1778167312167,1778167312253,548304,0,127112
66,0,0,121,0,30,1778167314129,1778167314193,548156,0,58538
67,0,0,194,0,84,1778167316146,1778167316235,938923,0,123989
68,0,22,74,60,0,1778167318095,1778167318168,147580,16922,0
69,0,19,170,148,22,1778167320105,1778167320173,383143,338245,44898
70,0,41,196,73,44,1778167322127,1778167322228,729068,316820,66810
71,0,0,196,0,74,1778167324135,1778167324192,889985,0,118239
72,0,14,97,0,23,1778167326111,1778167326180,637791,0,23506
73,0,0,198,170,28,1778167328106,1778167328179,254301,211886,42415
74,0,0,71,65,6,1778167330098,1778167330154,215215,209329,5886
75,0,0,197,0,67,1778167332116,1778167332213,794422,0,105658
76,0,74,135,0,24,1778167334117,1778167334248,837953,0,25080
77,0,0,153,55,90,1778167336111,1778167336180,262136,10823,177313
78,0,0,131,111,20,1778167338101,1778167338166,281242,242222,39020
79,0,0,152,0,37,1778167340110,1778167340199,534887,0,47775
80,0,0,121,0,21,1778167342111,1778167342188,662200,0,40905
81,0,0,127,0,31,1778167344111,1778167344191,833402,0,45146
82,0,0,87,19,19,1778167346103,1778167346157,114331,21584,36116
83,0,0,118,0,20,1778167348114,1778167348203,346826,0,33605
84,0,0,102,0,10,1778167350107,1778167350199,496285,0,19070
85,0,0,113,0,7,1778167352111,1778167352192,773793,0,13228
86,0,0,66,25,0,1778167354104,1778167354206,380084,3450,0
87,0,0,113,0,13,1778167356109,1778167356169,225517,0,12441
88,0,0,110,0,12,1778167358116,1778167358225,428320,0,19099
89,0,0,86,0,0,1778167360108,1778167360203,528152,0,0
90,0,0,67,0,0,1778167362108,1778167362174,543257,0,0
91,0,62,9,9,0,1778167364103,1778167364166,9405,9405,0
92,0,52,111,0,7,1778167366124,1778167366207,339363,0,14483
93,0,47,94,0,6,1778167368118,1778167368208,457258,0,7363
94,0,55,108,0,0,1778167370119,1778167370192,765019,0,0
95,0,0,97,0,0,1778167372119,1778167372196,880654,0,0
96,0,92,100,100,0,1778167374111,1778167374219,201477,201477,0
97,0,47,181,0,77,1778167376123,1778167376235,550654,0,125192
98,0,44,129,0,37,1778167378131,1778167378243,597470,0,38369
99,0,0,114,0,0,1778167380116,1778167380171,910292,0,0
100,0,16,98,81,0,1778167382112,1778167382183,245940,76220,0
101,0,0,196,159,37,1778167384121,1778167384231,531041,474901,56140
102,0,15,78,7,0,1778167386114,1778167386197,387801,34657,0
103,0,29,187,0,47,1778167388121,1778167388224,1043870,0,64551
104,0,43,143,0,29,1778167390121,1778167390206,1081345,0,58870
105,0,0,175,131,44,1778167392119,1778167392210,339989,251733,88256
106,0,0,91,0,0,1778167394121,1778167394200,358393,0,0
107,0,0,120,0,26,1778167396132,1778167396214,584566,0,25922
108,0,0,140,0,35,1778167398122,1778167398186,877747,0,47651
109,0,16,76,65,0,1778167400118,1778167400213,166473,57265,0
110,0,13,114,48,16,1778167402120,1778167402217,316150,138480,32112
111,0,15,136,0,27,1778167404127,1778167404239,577053,0,40551
112,0,0,123,0,28,1778167406255,1778167406311,709119,0,45446
113,0,0,75,0,11,1778167408160,1778167408214,579421,0,10771
114,0,48,50,50,0,1778167410134,1778167410218,91382,91382,0
115,0,0,171,0,56,1778167412229,1778167412288,562990,0,110198
116,0,0,117,0,14,1778167414229,1778167414311,628470,0,15750
117,0,0,103,0,0,1778167416164,1778167416236,809575,0,0
