TxHash (Byte -> Big Int),Tx propose timestamp,Block propose timestamp,Tx finally commit timestamp,Relay1 Tx commit timestamp (not a relay tx -> nil),Relay2 Tx commit timestamp (not a relay tx -> nil),Broker1 Tx commit timestamp (not a broker tx -> nil),Broker2 Tx commit timestamp (not a broker tx -> nil),Confirmed latency of this tx (ms)
22240512174704591388386135413576967470691300087084416373128457196339979894877,1778167426459,1778167430125,1778167430199,,,,,3739
94322796546409364175640593849432115533118454961350034459373971077119270575424,1778167453605,1778167456163,1778167456263,,,,,2658
106790084439406337538968344475113250606892059964634260668901798403255285119758,1778167227329,1778167228104,1778167232111,,,1778167228174,1778167232111,4782
52460352113831687614713774573636651906151334641897758642425257701655676127117,1778167326932,1778167328146,1778167332195,,,1778167328213,1778167332195,5263
67053394305630997328438798250511674214682264351958022417025976223776563077967,1778167381228,1778167388121,1778167388224,,,,,6996
101191853850160372794474420216706612328816119069678861621649497926668532116932,1778167408364,1778167414229,1778167414311,,,,,5947
7428759272406421518840495783389854004432300987954400096586271043942071359103,1778167335962,1778167340174,1778167340232,,,,,4269
101144061145829517420946813998533556558904206000966447006008930274499576628966,1778167372182,1778167380165,1778167380224,,,,,8042
81287363699750449703275214489155223824318632242779218832769952166594597780146,1778167408371,1778167416244,1778167416311,,,,,7940
14584326846045499425170321569146941313515281715541602839220646043245645410775,1778167453603,1778167456163,1778167456263,,,,,2660
31318428427138651968988848337952560502864218872201064458785636028094712113211,1778167462628,1778167464163,1778167464232,,,,,1603
36741796155154654727643938636485224932313276379028414813734454761193052725095,1778167182104,1778167188056,1778167194088,,,1778167188137,1778167194088,11984
13165689124073263649964906611018559682608091095906567824908484553128494612774,1778167182096,1778167192098,1778167192160,,,,,10064
27909032655892562769183550473055717708169607150070179442091424617589685193562,1778167245436,1778167252045,1778167252081,,,,,6644
89444631575500182279552705882923174241461678178898158474986722939420226192057,1778167272621,1778167278048,1778167278103,,,,,5482
52539421838467845021587914640666930592030319383262082010356456978197236473274,1778167317862,1778167324164,1778167324211,,,,,6349
54990740275140511065219474300750764778999076809969610113723802830905536554384,1778167200189,1778167202060,1778167208143,,,1778167202113,1778167208143,7953
54871200531694234763118510453446534029541806335353707612358706800739038558184,1778167209231,1778167214084,1778167214163,,,,,4932
106649661145491784440560793364849291553963446827077959162276067734145738994001,1778167372203,1778167374111,1778167378235,,,1778167374219,1778167378235,6032
64070932361885547022435422581974841498995538374251735119114919969458671786213,1778167372204,1778167374111,1778167378235,,,1778167374219,1778167378235,6031
20614758680577820968637611597727156701945105854967574968580500842738142741582,1778167372138,1778167376090,1778167376186,,,,,4047
89506122739991017542406771799868037547245890739046176668381376316219129504842,1778167417439,1778167420169,1778167422206,,,1778167420240,1778167422206,4767
59698774939863244462111453677221615640363700928353408188955211543424010279559,1778167462633,1778167464202,1778167468271,,,1778167464275,1778167468271,5637
5511596339643952830504681859997242014949785003191661200134270084926845455383,1778167182102,1778167184091,1778167188137,,,1778167184144,1778167188137,6035
109779996423331643958725689316318923146457785335089903869817593661619377118359,1778167200184,1778167210034,1778167210102,,,,,9917
1688558337897967522398390500740755297465148312978899616972169941476625102797,1778167308838,1778167310159,1778167314183,,,1778167310255,1778167314183,5345
