Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,7,94,68,0,1778157861295,1778157861348,60807,43992,0
2,0,7,126,68,36,1778157861806,1778157861872,146653,78962,42141
3,0,0,26,0,26,1778157862293,1778157862376,43281,0,43281
4,0,22,83,48,0,1778157862790,1778157862838,175800,101665,0
5,0,0,63,0,63,1778157863292,1778157863365,166611,0,166611
6,0,39,61,38,0,1778157863792,1778157863879,192426,119868,0
7,0,0,55,0,55,1778157864293,1778157864377,200854,0,200854
8,0,30,67,41,0,1778157864801,1778157864867,277292,169679,0
9,0,0,56,0,56,1778157865292,1778157865369,259886,0,259886
10,0,26,69,38,0,1778157865794,1778157865844,352775,194273,0
11,0,0,59,0,59,1778157866296,1778157866360,332104,0,332104
12,0,15,107,72,0,1778157866795,1778157866840,653255,439575,0
13,0,0,48,0,48,1778157867295,1778157867356,317774,0,317774
14,0,12,82,46,0,1778157867796,1778157867846,582801,326944,0
15,0,0,73,0,73,1778157868294,1778157868334,554503,0,554503
16,0,17,89,56,0,1778157868796,1778157868875,10678,6707,0
17,0,0,48,0,48,1778157869298,1778157869383,30148,0,30148
18,0,0,46,36,0,1778157869796,1778157869895,52150,40813,0
19,0,0,44,0,44,1778157870299,1778157870351,69981,0,69981
20,0,26,84,65,0,1778157870798,1778157870869,176740,136767,0
21,0,0,39,0,39,1778157871299,1778157871347,100679,0,100679
22,0,26,66,48,0,1778157871806,1778157871865,204402,148652,0
23,0,0,38,0,38,1778157872299,1778157872349,136075,0,136075
24,0,19,89,67,0,1778157872806,1778157872857,363702,273803,0
25,0,0,34,0,34,1778157873310,1778157873363,156132,0,156132
26,0,0,118,78,0,1778157873803,1778157873876,602217,398069,0
27,0,0,10,0,10,1778157874304,1778157874377,56039,0,56039
28,0,0,78,48,7,1778157874807,1778157874863,474869,292213,42632
29,0,0,12,0,12,1778157875302,1778157875389,79360,0,79360
30,0,0,84,55,13,1778157875805,1778157875849,594007,388917,91952
31,0,0,4,0,4,1778157876302,1778157876342,30257,0,30257
32,0,89,39,0,39,1778157876811,1778157876875,315811,0,315811
33,0,12,106,64,17,1778157877310,1778157877393,62177,37544,9975
34,0,69,12,0,12,1778157877807,1778157877869,12770,0,12770
35,0,0,86,51,17,1778157878313,1778157878367,133683,79288,26405
36,0,40,23,0,23,1778157878808,1778157878858,46990,0,46990
37,0,0,51,29,11,1778157879316,1778157879385,130635,74280,28182
38,0,37,35,0,35,1778157879809,1778157879877,106823,0,106823
39,0,0,39,31,2,1778157880311,1778157880383,138447,110039,7104
40,0,84,33,0,33,1778157880813,1778157880860,132940,0,132940
41,0,0,90,66,6,1778157881313,1778157881367,407599,298903,27176
