TxHash (Byte -> Big Int),Tx propose timestamp,Block propose timestamp,Tx finally commit timestamp,Relay1 Tx commit timestamp (not a relay tx -> nil),Relay2 Tx commit timestamp (not a relay tx -> nil),Broker1 Tx commit timestamp (not a broker tx -> nil),Broker2 Tx commit timestamp (not a broker tx -> nil),Confirmed latency of this tx (ms)
109942026514901515196282906229469296262748098199006079055539993891555393029958,1778157927427,1778157928602,1778157929147,1778157928672,1778157929147,,,1719
31901480359989938549255732644041612573894188145014968264075821815536667225120,1778157908995,1778157910479,1778157910531,,,,,1535
40307826791600919230758045779607902598849555080624222442382207889890069092219,1778157919389,1778157923874,1778157924419,1778157923918,1778157924419,,,5030
65993883900717023640267326689516846664795959520445194825301706246112253350609,1778157927430,1778157929607,1778157929962,1778157929660,1778157929962,,,2532
57593934627118720080117545500785526777469269984034956158972363186477947102883,1778157935455,1778157937894,1778157938161,1778157937985,1778157938161,,,2705
87705730246894558225525825063215104256131793408780897458922911318698567857017,1778157935462,1778157940656,1778157940739,,,,,5276
112393036415898274363769293917073773948205426208054686532102563904763449659968,1778157868769,1778157871806,1778157872349,1778157871865,1778157872349,,,3580
63549668379717707984585398287038820133755655012885417722472284836944470736137,1778157935464,1778157940656,1778157941009,1778157940739,1778157941009,,,5545
101356878911385996659963855816044483235270873264666001578103205062988801759699,1778157900935,1778157903331,1778157903893,1778157903422,1778157903893,,,2957
42431547916660056111372417097650257130741209790414295995334195645146467725329,1778157935468,1778157942623,1778157942958,1778157942694,1778157942958,,,7489
92922228023751448096494468542067920749735945508414304654772256418037652958779,1778157884872,1778157888949,1778157889505,1778157889004,1778157889505,,,4632
93462151146812117519308733860454267374216461588556283468923244012613769922507,1778157884873,1778157889947,1778157890373,1778157890003,1778157890373,,,5500
85029680693416941270786010344337942495658620851456139114627937593159235929399,1778157900940,1778157904469,1778157904897,1778157904523,1778157904897,,,3956
30049167381212029932706827572958222638130991228300893990223625956715017215551,1778157935452,1778157935883,1778157935946,,,,,493
19603333682604958100532681662318448876183192633294862525109688781865810500571,1778157860719,1778157862779,1778157863365,1778157862827,1778157863365,,,2645
85720345332495596635412182488559153501484654090801693010900913323875491213279,1778157884876,1778157889947,1778157890375,1778157890003,1778157890375,,,5499
71725891288269535790514654016454255122385149503003532589462041431212581547575,1778157908995,1778157910479,1778157910531,,,,,1535
32400840405642857928936426741848516140047596264966791316772571048624799023857,1778157909003,1778157911482,1778157911892,1778157911548,1778157911892,,,2889
23791763328910060252053736056270362906208735882686164425165329195962077810735,1778157935463,1778157940656,1778157940739,,,,,5275
69964829040488269994304185889641889702818184831117988606698818539766397332430,1778157884868,1778157887944,1778157888001,,,,,3133
85277848523544437562084979265731005045983633758065168446352736293691382105640,1778157908997,1778157910353,1778157910531,1778157910406,1778157910531,,,1533
30205730275354298018053230183693560244182574538464677967278727092900233886656,1778157919384,1778157921598,1778157922138,1778157921642,1778157922138,,,2754
107761088526865347838051300511756419780725463995147403985990818861422362787532,1778157919402,1778157925616,1778157925713,,,,,6310
27908466195115450037318730511432692776405046979908908833203447558232084977119,1778157935465,1778157941627,1778157941965,1778157941678,1778157941965,,,6499
88730306427691564399080717995980726326330338491514213259844762863734547183915,1778157876809,1778157877310,1778157877856,1778157877393,1778157877856,,,1047
103971959816293453371010289439718536262075546606856646277416134027214159243927,1778157884864,1778157885943,1778157886485,1778157886009,1778157886485,,,1620
101640508058298137290986585989015609545798126167437045441331292508183091331579,1778157900952,1778157906345,1778157906527,1778157906394,1778157906527,,,5574
32795338312307972776783859063942666029071324239907072211288905628181971633330,1778157860735,1778157866795,1778157867359,1778157866840,1778157867359,,,6623
83467898460504735171398633258761940485670366790245126336364590989321496099814,1778157860739,1778157867796,1778157867846,,,,,7107
95810285746976007199020813044039034163715065218424287255627088331695373312726,1778157868767,1778157871794,1778157871968,1778157871867,1778157871968,,,3200
40529387351428559175893169873116770467943428675527330933038936767021705815892,1778157876798,1778157877304,1778157877508,1778157877394,1778157877508,,,710
46896688069897056111811878118125310234979429630826242313196804760175854957288,1778157876842,1778157881939,1778157882001,,,,,5159
87239397995288805393699722508830126388350615446293314435226478513060228176778,1778157919397,1778157925616,1778157925911,1778157925713,1778157925911,,,6514
13226671379467368157724706358338093440193778820944250668885733626432959144646,1778157860720,1778157862779,1778157862962,1778157862827,1778157862962,,,2241
2131165585679878991239831820898516315883432663974407742908909382669367259296,1778157868763,1778157870798,1778157870981,1778157870869,1778157870981,,,2217
79278747260180953335760459587424986904952822663569752502099616946644736470704,1778157868776,1778157876315,1778157876350,,,,,7574
102326631872066483292168988785749348267600620202880436525260675255529178938966,1778157876847,1778157883316,1778157883481,1778157883408,1778157883481,,,6634
16337924462453114342280131095051600285936558807494128447000465845714908589548,1778157876849,1778157883937,1778157883981,,,,,7131
26663772128781074914710678101015436859485222237748458314459807035568007779589,1778157884861,1778157884940,1778157884996,,,,,135
105016612684443144737155935725079193468304669928729256830378668145582975438311,1778157884862,1778157884940,1778157884996,,,,,134
102229793015684325710714387309379816807713838819371917165657495675735951668860,1778157900945,1778157905347,1778157905906,1778157905390,1778157905906,,,4961
4822574063652730713748433160733669650811374731195524136075821118303641898281,1778157919385,1778157921587,1778157921636,,,,,2251
30406026182638516974585292890348004990258576898412499409587490219783558856193,1778157884880,1778157890946,1778157890996,,,,,6116
49785816453029860249120936261219845182026916739076769700844409940919490893185,1778157868775,1778157874807,1778157874863,,,,,6087
105629518378165225209238402981668232078279466873908520056277323492082067312822,1778157884878,1778157890946,1778157890996,,,,,6117
42866677891025104383030180171003958059947498273344027541754399345777816854527,1778157892900,1778157893954,1778157894492,1778157894006,1778157894492,,,1592
65355137023636303024239136275214268857189701992727498086048531438554137154905,1778157892905,1778157896333,1778157896499,1778157896424,1778157896499,,,3593
8699826025153260418103960813413032409608794458573797742364024700216770324902,1778157892915,1778157900330,1778157900901,1778157900430,1778157900901,,,7985
69363184349278464880312863785430572232905444244058087234973146929418561958728,1778157909027,1778157914482,1778157914926,1778157914543,1778157914926,,,5898
6907269539075862727734776491773598713669334956742895038774860564734160422841,1778157860726,1778157864801,1778157864967,1778157864867,1778157864967,,,4240
22005825799087088685268181413294207822080906998490100837053974285224795099047,1778157884868,1778157887944,1778157888403,1778157888001,1778157888403,,,3534
57498064927105714287022470873692006693366358160100664443095033454651485795195,1778157884873,1778157889947,1778157890003,,,,,5129
47039119887453644322948186788442589270637869363641911770558412104293134607377,1778157900938,1778157903331,1778157903893,1778157903422,1778157903893,,,2954
4279701842697422462075077693439413168815015532409194185166211076267694555038,1778157919383,1778157921598,1778157921642,,,,,2258
24348410720656358267253094138668714192894541336381767350323387900693874318760,1778157919391,1778157923859,1778157923902,,,,,4511
83669178264832923098326308364283334982252017974382248159187688712241512518015,1778157935463,1778157940656,1778157940955,1778157940739,1778157940955,,,5491
89469919709341643332117812345774142052124298283987237394487538803228953888642,1778157884867,1778157887944,1778157888001,,,,,3134
93242153601286546958562197637124610855704221048824269521336618502558769476719,1778157892913,1778157898961,1778157899002,,,,,6088
17751818962762646791637763381448479757448738876013322052146931992171027629081,1778157927427,1778157928602,1778157929147,1778157928672,1778157929147,,,1719
39394654287579860992983413973057208081528763571070658978546852242663805847233,1778157868758,1778157868785,1778157868872,,,,,114
80236470150060145502355271401305042053108325599189312037833063955350107415821,1778157900941,1778157904335,1778157904385,,,,,3444
95118209432675930294598610704462617849046954116061683302858883183601111362174,1778157909007,1778157911482,1778157911892,1778157911548,1778157911892,,,2885
