Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Broker1 Txs in this block,# of Broker2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Broker1 Txs) (Duration: Broker1 proposed -> Broker1 Commit)","SUM of confirm latency (ms, Broker2 Txs) (Duration: Broker2 proposed -> Broker2 Commit)"
1,0,81,71,71,0,1778171202463,1778171202517,146141,146141,0
2,0,3,161,103,58,1778171204477,1778171204544,503762,420571,83191
3,0,72,56,3,0,1778171206468,1778171206535,341691,18219,0
4,0,63,125,0,56,1778171208481,1778171208552,656674,0,97424
5,0,66,106,43,21,1778171210471,1778171210583,513972,45425,43050
6,0,54,101,65,36,1778171212469,1778171212540,266869,195837,71032
7,0,55,103,0,3,1778171214472,1778171214542,509047,0,3973
8,0,47,99,0,5,1778171216472,1778171216554,667098,0,4960
9,0,0,76,0,10,1778171218474,1778171218549,615670,0,19841
10,0,0,138,90,48,1778171220478,1778171220537,256277,176990,79287
11,0,0,161,43,60,1778171222476,1778171222540,478716,170624,76440
12,0,0,119,0,18,1778171224475,1778171224551,622186,0,16596
13,0,0,124,0,23,1778171226473,1778171226553,851090,0,44183
14,0,0,244,191,48,1778171228476,1778171228556,309505,172881,86679
15,0,0,169,72,22,1778171230475,1778171230571,468558,210173,35170
16,0,0,152,0,1,1778171232488,1778171232555,746817,0,869
17,0,0,98,0,4,1778171234481,1778171234562,659351,0,7496
18,0,0,61,0,9,1778171236480,1778171236543,470273,0,7614
19,0,0,95,65,30,1778171238476,1778171238565,161297,122355,38942
20,0,0,103,0,15,1778171240496,1778171240571,356096,0,12472
21,0,0,155,0,53,1778171242488,1778171242581,665008,0,62228
22,0,0,95,0,0,1778171244483,1778171244563,749209,0,0
23,0,0,73,48,0,1778171246481,1778171246557,287228,40322,0
24,0,0,100,93,7,1778171248483,1778171248547,270049,263154,6895
25,0,9,125,0,32,1778171250492,1778171250571,499006,0,46195
26,0,28,111,0,9,1778171252488,1778171252595,720600,0,18251
27,0,0,127,0,59,1778171254490,1778171254564,687889,0,86078
29,1,0,0,0,0,1778171258478,1778171258554,0,0,0
30,1,7,155,155,0,1778171260495,1778171260579,267287,267287,0
31,1,0,42,28,14,1778171262496,1778171262579,125236,104224,21012
32,1,0,79,0,15,1778171264491,1778171264554,395744,0,29565
33,1,0,108,0,8,1778171266497,1778171266572,780721,0,7816
34,1,0,117,23,72,1778171268493,1778171268576,311715,15549,82147
35,1,0,114,107,7,1778171270497,1778171270566,291797,285161,6636
36,1,0,81,6,45,1778171272491,1778171272582,227341,28080,58065
37,1,0,117,0,20,1778171274498,1778171274598,670292,0,19280
38,1,0,182,0,74,1778171276500,1778171276558,1049347,0,113835
39,1,0,87,27,1,1778171278499,1778171278575,142605,43956,926
40,1,0,100,0,7,1778171280498,1778171280590,350003,0,9543
41,1,0,113,0,17,1778171282502,1778171282606,560172,0,15827
42,1,0,139,0,34,1778171284510,1778171284622,854189,0,47945
43,1,21,48,36,0,1778171286495,1778171286602,137491,21619,0
44,1,0,100,17,46,1778171288497,1778171288575,206354,43741,65888
45,1,0,103,0,17,1778171290500,1778171290585,422558,0,26663
46,1,0,129,0,9,1778171292502,1778171292590,800256,0,8803
47,1,0,74,0,5,1778171294496,1778171294564,600730,0,9739
48,1,6,52,8,0,1778171296498,1778171296580,80671,12208,0
49,1,0,95,0,11,1778171298498,1778171298595,316735,0,17196
50,1,0,104,0,6,1778171300515,1778171300598,551104,0,6090
51,1,0,97,0,0,1778171302499,1778171302553,728125,0,0
52,1,4,55,15,0,1778171304497,1778171304588,388861,7395,0
53,1,0,110,0,5,1778171306508,1778171306581,272222,0,8963
54,1,0,107,0,5,1778171308506,1778171308587,464211,0,4935
55,1,0,96,0,0,1778171310503,1778171310557,620872,0,0
56,1,0,79,0,0,1778171312506,1778171312573,669959,0,0
58,2,0,0,0,0,1778171316504,1778171316636,0,0,0
59,2,2,43,3,0,1778171318558,1778171318608,61445,4245,0
60,2,1,99,0,2,1778171320575,1778171320622,337505,0,4162
61,2,0,42,0,4,1778171322546,1778171322610,211172,0,5254
62,2,0,0,0,0,1778171324497,1778171324607,0,0,0
63,2,0,0,0,0,1778171326497,1778171326577,0,0,0
64,2,0,0,0,0,1778171328499,1778171328565,0,0,0
