Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Broker1 Txs in this block,# of Broker2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Broker1 Txs) (Duration: Broker1 proposed -> Broker1 Commit)","SUM of confirm latency (ms, Broker2 Txs) (Duration: Broker2 proposed -> Broker2 Commit)"
1,0,83,371,236,0,1778656824573,1778656824669,735269,413975,0
2,0,54,401,100,83,1778656826575,1778656826696,721097,32143,171611
3,0,29,462,22,213,1778656828574,1778656828684,805975,5321,273445
4,0,49,329,0,36,1778656830575,1778656830720,745461,0,66981
5,0,142,398,49,36,1778656832577,1778656832703,823763,104785,36755
6,0,90,379,83,59,1778656834577,1778656834712,780805,168488,119281
7,0,15,406,147,100,1778656836580,1778656836737,797643,287034,193261
8,0,0,355,116,40,1778656838581,1778656838743,665774,223691,55787
9,0,49,411,41,24,1778656840587,1778656840826,794091,80971,25992
10,0,0,416,53,97,1778656842582,1778656842854,780737,102198,155799
11,0,63,423,14,38,1778656844589,1778656844806,751481,25648,39396
12,0,0,532,14,124,1778656846593,1778656846874,948605,25340,198473
13,0,44,398,107,26,1778656848596,1778656848832,650515,171137,26832
14,0,0,364,184,55,1778656850591,1778656850810,563212,271835,98827
15,0,0,419,79,49,1778656852592,1778656852779,536549,97789,46669
16,0,153,253,121,132,1778656854576,1778656854857,362560,130911,231649
17,0,0,241,78,10,1778656856590,1778656856799,561624,73575,9320
18,0,0,252,57,32,1778656858589,1778656858836,608434,53399,62831
19,0,56,305,23,25,1778656860615,1778656861045,863203,22908,28850
20,0,0,488,29,57,1778656862628,1778656862905,1309443,23693,113507
21,0,5,379,4,1,1778656864622,1778656864945,1079017,3184,1033
22,0,0,505,72,17,1778656866644,1778656866897,1225683,49728,21552
23,0,1,385,100,0,1778656868918,1778656869048,887681,70439,0
24,0,0,343,69,43,1778656870686,1778656870798,638633,25550,37392
25,0,0,297,0,15,1778656872674,1778656872853,706778,0,13350
27,1,67,308,0,308,1778656876981,1778656877131,612848,0,612848
28,1,0,132,0,132,1778656878579,1778656878740,164090,0,164090
29,1,0,32,0,32,1778656880569,1778656880758,41628,0,41628
30,1,0,107,0,107,1778656882585,1778656882725,122789,0,122789
31,1,0,70,0,70,1778656884576,1778656884730,63719,0,63719
32,1,0,95,0,95,1778656886575,1778656886724,136679,0,136679
33,1,0,40,0,40,1778656888572,1778656888684,29631,0,29631
34,1,0,68,0,68,1778656890576,1778656890714,106405,0,106405
35,1,0,32,0,32,1778656892575,1778656892716,23909,0,23909
36,1,0,59,0,59,1778656894578,1778656894707,88922,0,88922
37,1,0,3,0,3,1778656896572,1778656896676,2601,0,2601
38,1,0,5,0,5,1778656898573,1778656898710,6791,0,6791
39,1,0,3,0,3,1778656900574,1778656900680,1545,0,1545
40,1,0,11,0,11,1778656902575,1778656902671,8466,0,8466
41,1,0,4,0,4,1778656904574,1778656904674,2964,0,2964
42,1,0,40,0,40,1778656906577,1778656906716,20918,0,20918
43,1,0,15,0,15,1778656908577,1778656908688,10017,0,10017
44,1,0,42,0,42,1778656910579,1778656910760,46981,0,46981
45,1,0,41,0,41,1778656912580,1778656912707,25549,0,25549
46,1,0,89,0,89,1778656914585,1778656914720,123267,0,123267
47,1,0,54,0,54,1778656916582,1778656916709,45737,0,45737
48,1,0,71,71,0,1778656918587,1778656918703,48668,48668,0
49,1,16,353,18,23,1778656920661,1778656920911,978408,15006,50761
50,1,14,408,36,29,1778656922638,1778656922810,1014431,24480,47632
51,1,0,348,21,37,1778656924628,1778656924763,833363,12138,52120
52,1,13,411,76,7,1778656926650,1778656926800,914461,43435,7361
53,1,0,348,52,35,1778656928633,1778656928796,749135,26794,49253
54,1,16,256,10,16,1778656930618,1778656930810,606827,4690,16656
55,1,0,458,70,54,1778656932647,1778656932838,943153,31401,73238
56,1,0,394,116,14,1778656934611,1778656934699,656369,28692,12684
57,1,0,273,12,33,1778656936811,1778656936896,613111,4692,46014
58,1,28,371,2,28,1778656938769,1778656938912,856684,698,30610
59,1,8,401,0,41,1778656940752,1778656940829,891394,0,67802
60,1,40,430,8,28,1778656942748,1778656942856,932471,17872,27433
61,1,0,389,40,66,1778656944686,1778656944792,774412,84760,85320
62,1,0,395,46,10,1778656946689,1778656946791,795770,91700,8820
63,1,0,397,67,54,1778656948657,1778656948766,706729,125754,52525
64,1,0,345,99,31,1778656950656,1778656950791,614877,184529,26133
65,1,0,341,71,43,1778656952640,1778656952766,613903,127640,73923
