TxHash (Byte -> Big Int),Tx propose timestamp,Block propose timestamp,Tx finally commit timestamp,Relay1 Tx commit timestamp (not a relay tx -> nil),Relay2 Tx commit timestamp (not a relay tx -> nil),Broker1 Tx commit timestamp (not a broker tx -> nil),Broker2 Tx commit timestamp (not a broker tx -> nil),Confirmed latency of this tx (ms)
28726328320218739906055474701530618399356215725813722043561898218562157428143,1779093071623,1779093073979,1779093074123,,,,,2500
46499733061562049024487544468616612272649051310688710519535086880977553434127,1779093274280,1779093276069,1779093276297,,,,,2016
4559900789437724266649354228418186729956771159159221823776309545945306656796,1779093278589,1779093280213,1779093280380,,,,,1791
2822500175093884939371259555306041829367498970729160988182878524973796141938,1779093283076,1779093285910,1779093286041,,,,,2964
36725141008353415478869935361924630300855594070011940561304697452636047025550,1779093035180,1779093036595,1779093036687,,,,,1507
100496318914458286815478526195666863192234488311419335258399789202114287805087,1779093043632,1779093046082,1779093046248,,,,,2616
80967268581419958875860447237320546929087311777724708275370723420194090846831,1779093052352,1779093054129,1779093054428,,,,,2076
40559224082939560247093079170924624745127983327825760054946156496000985007993,1779093054461,1779093055955,1779093056034,,,,,1572
74282764274661969793558563396152807553894927642772887711871737249710277899199,1779093054517,1779093056260,1779093056385,,,,,1867
68700947917127283921979358695640484347848698608793665058277370123734719581512,1779093063102,1779093064501,1779093064707,,,,,1604
64711746619904343283779708759136768253192237507148678939147605302163930670700,1779093063101,1779093064579,1779093064770,,,,,1669
8503424297959759623386235707878421733438534036617988486427755003074450952143,1779093065188,1779093066613,1779093066724,,,,,1535
99764089997048107447675515374740912655027396674812612039132077742290237320979,1779093039490,1779093040341,1779093064770,,,1779093040606,1779093064770,25280
39921548044060809901548481240466834080498564357827363666800122177163717335784,1779093050044,1779093052541,1779093052656,,,,,2611
94117114713653843450502884835376802538060169302692263728557543438999010408179,1779093065198,1779093066545,1779093066661,,,,,1462
22261076001409520667601580863863172185562247858897317961812449637965640244071,1779093075786,1779093078247,1779093078470,,,,,2683
21458691121895533353619247482538759022020009579298383100821636335507727946214,1779093077845,1779093080559,1779093080742,,,,,2897
50635573037366166210805355195067431829284711302391610633558005970445857382493,1779093077846,1779093079847,1779093079968,,,,,2122
11564434587364714713256525049937812057067484942619330074058941531035166999146,1779093082238,1779093084144,1779093268302,,,1779093084292,1779093268302,186063
14943592314275978957060843232971645690625264446683705616184519622138186280399,1779093033057,1779093035857,1779093036179,,,,,3122
18597266780394061258254736385384892232706374634861390300101325048498001217772,1779093061034,1779093061846,1779093162810,,,1779093062207,1779093162810,101775
15386353166353192551334607183038377553118824443844407960913969707986256630695,1779093079942,1779093081854,1779093082060,,,,,2118
71933291115747913056972594486442700997690712857257578808023917179885117555347,1779093272167,1779093274189,1779093274295,,,,,2128
82514040508853623778139651090187826272233758198851345844910093814303234183470,1779093045782,1779093046097,1779093094253,,,1779093046258,1779093094253,48470
27591730303455275808532301131993290234573232217951842297326211644953332835634,1779093073673,1779093076603,1779093076836,,,,,3162
50312417296418746749861659221605075922442596716085317366529645733337096455684,1779093287211,1779093288567,1779093352711,,,1779093288693,1779093352711,65499
81556163055546062044980812359053133659308867285141036308943405563256816923134,1779093039438,1779093041942,1779093042122,,,,,2684
43249479005377352145635933297492575148066425951871951713999482753273538688347,1779093050148,1779093052626,1779093052725,,,,,2576
39671406696074458123384244471802957992044834043775009625934633781966746310953,1779093052426,1779093053841,1779093124731,,,1779093054275,1779093124731,72304
31255624256735741194286761368213674568207744724077372410095493851440795061320,1779093056721,1779093059479,1779093059599,,,,,2877
82255475227466397029027787270322882325099678613514046665101345299100825797162,1779093067354,1779093067976,1779093194263,,,1779093068084,1779093194263,126908
48220139377224659410988392828251666060372916799399429378504990480794220432831,1779093079926,1779093082617,1779093082837,,,,,2911
108326608392955122557818227352326135645934099478757559926939421386228290706474,1779093274340,1779093276311,1779093276514,,,,,2173
14699528473151533384152023810586119771220243261406744068593104438451380343935,1779093037323,1779093038079,1779093052601,,,1779093038240,1779093052601,15278
14920354826658789382966092321838497473942301589038242345323087844123500401845,1779093035191,1779093038256,1779093038375,,,,,3184
59983923655373578075497018739581256906087588328270289327279173848473916751895,1779093039463,1779093042518,1779093042732,,,,,3268
43582236612600709683607865411636900122973810429077717904474266222827620324476,1779093043646,1779093046539,1779093046742,,,,,3096
111298716252374594214186194645372797113845157535138265568243590255143189716084,1779093278587,1779093280213,1779093280380,,,,,1793
