TxHash (Byte -> Big Int),Tx propose timestamp,Block propose timestamp,Tx finally commit timestamp,Relay1 Tx commit timestamp (not a relay tx -> nil),Relay2 Tx commit timestamp (not a relay tx -> nil),Broker1 Tx commit timestamp (not a broker tx -> nil),Broker2 Tx commit timestamp (not a broker tx -> nil),Confirmed latency of this tx (ms)
61442019283541741715332110633678528495323117471370620164000640594806802238819,1778170384123,1778170391071,1778170391147,,,,,7023
31204772529160623477894403515473754350499074256839122855501369940283520698807,1778170384129,1778170393061,1778170393122,,,,,8992
8983195151717306650697265851803672480811254533236560699519768536435170048827,1778170442470,1778170445043,1778170445124,,,,,2653
41282307534517434737055992605124371593073646038440665383647208570903384055238,1778170532060,1778170535073,1778170535156,,,,,3096
39729531490041504925803358660527861037444830296734618844582306475734696877761,1778170559231,1778170567180,1778170567271,,,,,8039
96623638739811015772222029102510623523470489690319633451374438255266970155181,1778170608536,1778170609093,1778170611235,,,1778170609198,1778170611235,2698
4616141315716488235106818569856476869561606883434110480278115239065738125215,1778170347936,1778170349007,1778170351114,,,1778170349122,1778170351114,3177
107302026047418244104698044033756581642064000736097139976251223063781243455445,1778170347936,1778170349031,1778170353095,,,1778170349154,1778170353095,5158
24421204831803791115872388818002705592281381300639031981160380908347609884627,1778170541112,1778170547072,1778170547197,,,,,6085
43845949617167491896111044642770756156280004986378575861595383196463758848146,1778170581377,1778170587104,1778170587218,,,,,5841
26109756400477930230118331462067347431828039844008573739856553016539428822825,1778170590450,1778170599132,1778170599219,,,,,8768
41100658816464075288130557298006902631402997247531898450890950624456541207622,1778170599488,1778170607107,1778170607207,,,,,7719
56223960921100525321797537524782510231453830756754451956373893564783264746702,1778170629708,1778170637158,1778170637213,,,,,7504
97304430448035005504209852190053086420406204725652398386236736406901237152841,1778170375061,1778170379038,1778170379135,,,,,4073
70052757855121588207915354872970463292959741739678374349229577605639678053959,1778170397258,1778170405031,1778170405157,,,,,7898
17127485220537249092216700599209964003359726514389854402772559540384099512547,1778170455602,1778170457206,1778170461201,,,1778170457264,1778170461201,5599
56201153729725620633821408758444742328650305625557761442843971357658092157556,1778170599485,1778170605191,1778170605271,,,,,5785
101962590938430008153402452450662589643198967784719860352212364009834762764919,1778170617559,1778170621111,1778170621204,,,,,3644
34696391653855578772946484122555583616955880311321121033203369310566710838459,1778170629696,1778170633125,1778170633210,,,,,3513
38616144538088995174987166318930677952474862937371811786821268914265937711972,1778170629703,1778170635109,1778170635208,,,,,5505
103519721682897583089926513180183970141854348438114725987473568984470342539719,1778170629706,1778170637158,1778170637213,,,,,7506
90388119021048464858487920625657854990413863999234339195248113514899848812412,1778170366016,1778170371040,1778170371134,,,,,5117
110699097236199902802228747255747878592788190670572514324605346260345003594577,1778170384127,1778170391020,1778170391126,,,,,6999
61129703584378839566782734299551019450010553547263039795406088046378122317343,1778170415361,1778170423039,1778170423127,,,,,7765
5869878082051397239038250609840844204278187168878366139935251760571683764470,1778170442477,1778170447041,1778170447143,,,,,4665
109368757104600022472449938658594464220710877886665832734274140971531565763235,1778170473687,1778170477086,1778170477161,,,,,3474
74146682292590420752628932613360533395872578990168783102609211527033485503058,1778170541103,1778170545242,1778170545321,,,,,4218
109405929492669685669202560677605530354935455516941759181520396449918690191292,1778170590448,1778170599098,1778170599199,,,,,8751
70071285357276233596987902543189122396411440477315211405729961236234688996793,1778170608531,1778170617098,1778170617215,,,,,8683
42516601483338230184018992030955637300376131203953711181816834589280895696416,1778170338878,1778170345022,1778170345118,,,,,6239
67282544578650685703606095615954488183921537183375501824934515867756788171471,1778170406310,1778170415036,1778170415137,,,,,8827
104188336476822022220880938567805928628053158744976471865262069926691525062026,1778170415339,1778170417028,1778170417124,,,,,1784
9119058129155041533813360059512416163368810050746282779188102948592940009571,1778170424401,1778170431044,1778170431160,,,,,6758
17262323497073802274112235658721879634535971744605118023486307249155746555968,1778170424403,1778170433079,1778170433137,,,,,8734
15004222965573576646190671558434750241581537986360285598684905396026326819663,1778170523039,1778170529120,1778170529191,,,,,6152
74867164307029314800083058844940415278110794731730939570359016732020348049413,1778170590417,1778170593116,1778170593193,,,,,2775
17616632254644598200611000125755335465760691162545238279719520541483497792845,1778170599484,1778170605179,1778170605277,,,,,5792
28769851637120541695745351019358054595616964965761875294205211091880461499977,1778170356962,1778170363025,1778170363133,,,,,6170
21404840429662717998388471734542583864483874868678317533286429748756205384433,1778170366005,1778170369012,1778170369167,,,,,3162
105146836819333170863773698538324055110319710441126739789044503626862681749374,1778170415365,1778170417028,1778170423133,,,1778170417118,1778170423133,7767
100425009170018986504567591441414321242215912724360618775699452069310951314021,1778170415356,1778170421045,1778170421196,,,,,5839
16027839740014566993815160829170749315697169932532644390792783979449900218965,1778170572333,1778170579107,1778170579217,,,,,6884
1469242708059015670262536476774559176551940197190543307449552671478437163378,1778170581373,1778170585106,1778170585170,,,,,3797
3088367975896129015530186695440144963377104299672871112013649110730557910490,1778170608536,1778170609146,1778170615225,,,1778170609224,1778170615225,6689
84885260210872344629867667944204917673076042729052401630564336367780699947728,1778170338894,1778170343043,1778170349154,,,1778170343101,1778170349154,10259
31253603662397981404954261040498588106663957646616903948523518753513912317353,1778170347916,1778170351046,1778170351114,,,,,3198
103597791221776636195218290656036527149217084348195606649270103442693779031117,1778170356975,1778170359011,1778170363137,,,1778170359117,1778170363137,6161
65765526054246946518765967409107896524549873889351527039798236539931436669210,1778170415346,1778170419042,1778170419149,,,,,3803
78745969270740557460625996022967532065277796890809564396172095936883654633315,1778170473688,1778170479084,1778170479160,,,,,5471
94775538891665481749292777736097858122306060787800422452460785298324853954981,1778170473688,1778170479130,1778170479213,,,,,5525
87752971625030549295062325619220234928319179935653803305014474869897149732977,1778170513997,1778170519067,1778170519164,,,,,5167
41655771862995192535109768793155312892704249459593674653418416476550743902595,1778170608518,1778170613209,1778170613300,,,,,4782
36530360374768218786112826123069348343396697609621729641087222776916777745883,1778170397257,1778170405069,1778170405165,,,,,7907
72531065730096360068752754169885761974056831350693815083470591392406020067038,1778170415345,1778170419042,1778170419156,,,,,3811
37180356385882587743985298910599132549202336696568907820348274341053955703976,1778170442495,1778170443075,1778170447143,,,1778170443153,1778170447143,4647
48064059755539494315771239036572249636512922078791930627934268691947540668400,1778170455583,1778170461143,1778170461217,,,,,5633
103859458046001463973453297008810505029115679154551434971607417814311040015356,1778170473691,1778170479084,1778170479160,,,,,5468
64220079440336316361991038205385353625775032783233535217643038332759116810371,1778170482722,1778170489074,1778170489165,,,,,6443
68313921113945361633147426889051005176229097228887941260609573656853900554343,1778170491764,1778170501064,1778170501183,,,,,9419
31131091164938814229077662456216694586679751661929251385338682635477388439097,1778170608530,1778170617106,1778170617219,,,,,8688
73206642101331065632873756218770034009719119330635867405555333099670111980490,1778170442482,1778170449050,1778170449142,,,,,6660
66804584704097963575666206200152059558313374305512219359118674660652361083347,1778170464656,1778170465067,1778170467148,,,1778170465144,1778170467148,2492
1284446860787667337514170951950675813350711394890563442679529803967661305398,1778170550173,1778170557079,1778170557171,,,,,6997
13039803379714178327598411191864983343306854435481425955035088702321654622055,1778170581400,1778170583153,1778170587212,,,1778170583237,1778170587212,5812
80473444374768828659970935422207356758140933354935424369007232745995565763429,1778170384124,1778170391020,1778170391126,,,,,7002
112753831048873489125452342075012478413150457304761962839451445432293553024123,1778170406317,1778170409042,1778170413169,,,1778170409140,1778170413169,6851
107616430493371004262847857822290776884069843599854684498002816642920601984937,1778170406300,1778170413036,1778170413160,,,,,6860
27238167617616339235921474595734894203924514041999373491075455350301357581743,1778170500838,1778170509109,1778170509174,,,,,8335
21133584926629238181710700204458539195300992777194599169970391668725723120684,1778170559222,1778170565129,1778170565229,,,,,6007
108850227442897541036924898795125048546094873131455929962008183492419905074023,1778170572334,1778170581103,1778170581219,,,,,8884
92116750612605674756915558503045917675774209928497025667770143703350762747768,1778170617584,1778170623133,1778170623212,,,,,5628
42690496534439272791810154687904793453654861029688062260953610391296519210152,1778170347928,1778170355009,1778170355103,,,,,7174
35091074276129816674651302101034940207476035463121738753192733522937757495407,1778170424379,1778170427052,1778170427149,,,,,2770
16116780224903626178976292265867525892359923471661559963055622162287590952846,1778170500844,1778170509067,1778170509159,,,,,8315
45893954233559840359075084966017593516550077958871569134118742230415081499378,1778170559242,1778170571299,1778170571356,,,,,12113
32238145333054274693175932658420643644978921056333653564675991365288731511731,1778170590455,1778170591102,1778170595322,,,1778170591201,1778170595322,4867
75944438500922501334356934980562881902039982899763510252255192976629325343111,1778170338894,1778170343003,1778170347123,,,1778170343100,1778170347123,8228
69085948600406145684322340664975482084167120248659172956613971290999530408533,1778170406293,1778170413036,1778170413110,,,,,6816
87676947902078288547133113645551494247446434211860192481200010204718587834818,1778170491774,1778170493056,1778170499289,,,1778170493185,1778170499289,7514
102721929708063197800511305124934905221858260708746604841899442188666079422593,1778170572338,1778170581103,1778170581219,,,,,8881
22767845547175746808720216309247579357379118031584830146680371118239277183978,1778170442467,1778170445044,1778170445127,,,,,2659
8960600631393882472616314937068997754332905513254981672767804108879346727042,1778170559218,1778170565129,1778170565229,,,,,6011
8414381021971504563253615482358967982281907009769966647916934877124915605439,1778170638748,1778170639145,1778170643195,,,1778170639209,1778170643195,4446
42183838832046723003603577082836173280433256236974814398491783919098641231863,1778170424396,1778170429038,1778170429141,,,,,4744
59378255410310513486099985971214607590984866026787458493390108674275928668976,1778170455597,1778170465177,1778170465282,,,,,9684
10813738213558268524521367242309050992131770107858235439431446434675022454586,1778170464640,1778170471132,1778170471203,,,,,6563
98082694065216094760635877002888659075692824447368003984526111697271484702286,1778170473697,1778170483092,1778170483185,,,,,9487
71769475099908939100588064614278914122709803935516319801224946921551476264469,1778170500852,1778170509109,1778170509174,,,,,8322
29774014000188729613896474657693703823989184634146784450494332120313482563447,1778170523026,1778170525082,1778170525173,,,,,2147
23127137619763496660283929167336218464771036762740624365730432351004168306926,1778170523034,1778170527111,1778170527184,,,,,4149
3871847402592810621696641159194998772827819641201230727053948872719887649357,1778170532060,1778170535073,1778170535156,,,,,3096
13762097156913917624113238761340529089404586015491239082063985634619628662956,1778170433445,1778170439045,1778170439145,,,,,5700
69902932118480370094072306813833374497986645864969499975291879176101439751249,1778170442470,1778170445044,1778170445127,,,,,2656
80343184524921182576016026026172567995926646959405897881179183691410456702972,1778170473684,1778170477072,1778170477155,,,,,3471
52251339057698127159712154032274571518178784572478850525930150536873373465664,1778170482731,1778170483069,1778170485176,,,1778170483176,1778170485176,2444
43835739403186981235964991143488370588806051789832993266508903803938155369061,1778170491762,1778170499184,1778170499289,,,,,7526
10765040877883161491969394402530504589071973692760574274291776434946222629192,1778170559236,1778170567120,1778170567209,,,,,7973
110537614152977563852556207569460611028909323975768137849836493177888323878911,1778170590416,1778170593116,1778170593193,,,,,2776
21099551255003067460443624963032699903919153346034993606247570454727107520082,1778170599479,1778170603204,1778170603265,,,,,3786
114710771378413655497122815216247515321508062628184439788844023765977659237782,1778170442485,1778170449049,1778170449144,,,,,6659
65428659508572012028604804002799411442658623133476418909754133299664212502253,1778170482726,1778170491117,1778170491174,,,,,8447
28526228074623044410541753741518255073776814113602507831341385596324991948235,1778170513992,1778170519109,1778170519179,,,,,5186
74027636418643034941464254928824558000861569107016698669565057192246015969150,1778170550161,1778170557201,1778170557278,,,,,7117
36041676960858894012695967129961915931511449522743390664609791542557159145915,1778170559238,1778170567180,1778170567271,,,,,8032
70348423611639609530029739977619877074269868010206347780104137085416975425629,1778170608515,1778170613117,1778170613247,,,,,4732
30332143566020070987562763356629209698694376285247856534430598201256107056526,1778170608524,1778170615121,1778170615225,,,,,6701
49469693535347327811542433348637849442000913714494089657410031698476786688292,1778170338891,1778170341045,1778170345115,,,1778170341117,1778170345115,6223
105054975264611426966073136017509373796652548674795924455893585981123066416039,1778170375091,1778170383063,1778170383129,,,,,8037
34725027974040054865191786277313760190808634364911043798294869466461621135747,1778170442495,1778170443046,1778170447143,,,1778170443152,1778170447143,4647
87913460473487387844826820001670550025851794475300895048716574410249792253408,1778170464623,1778170469114,1778170469191,,,,,4568
95108349755288216342785799297565594974449036026133727267289250646232462712813,1778170464628,1778170471111,1778170471169,,,,,6540
63621600566598007138764299718497934018801113795920304282119694915166006064988,1778170473683,1778170477072,1778170477155,,,,,3471
43616561697942116231279300069736373823948236952920320192717449459551413491815,1778170541132,1778170549307,1778170549369,,,,,8236
112698388471325481494904114809061286269876494340245369078142167786442853144561,1778170599487,1778170607107,1778170607207,,,,,7719
114843581763768617355091788729038921956593609777331558127211733983105211214849,1778170338872,1778170345023,1778170345115,,,,,6243
38014266632849959726218167914367992509991006260250967524296007820002481056339,1778170473689,1778170479105,1778170479177,,,,,5487
91046755289827542223163357090303354714090198897850754324418890763040251909219,1778170482719,1778170489074,1778170489165,,,,,6445
50637194363791748481900882073280367732987117923868353103637590641688161499342,1778170482719,1778170489112,1778170489210,,,,,6491
777758946468587190595966071456616891886075248655314944685141442939970179325,1778170491760,1778170499060,1778170499217,,,,,7457
23822034853842693635093242105028796185913274223245648437818721811035749775651,1778170532067,1778170537082,1778170537195,,,,,5127
10978749211340701035408411863460868057926146337317801221142495299055392520636,1778170550167,1778170557079,1778170557171,,,,,7003
36613413298958373254705508519768561483846144417634504846679733076550138570125,1778170581398,1778170591102,1778170591201,,,,,9803
34334628003555531025088296477402256291934021260857685171998320114276853404100,1778170384133,1778170385028,1778170389127,,,1778170385122,1778170389127,4993
110973251350903390163439734305794729564166508161123827328604743880430749630091,1778170424394,1778170429079,1778170429146,,,,,4752
763571548640052980924289622463018730751924258064906522826013887154124706487,1778170572322,1778170577175,1778170577295,,,,,4972
167858478613978509432871397981185744754334998912648876047381759825039592724,1778170608533,1778170617098,1778170617215,,,,,8682
93316797296268566570488871372679210927380930840277419209092471828168783840436,1778170338892,1778170341021,1778170345127,,,1778170341092,1778170345127,6234
71466043795495365353325271575118279577079674331007414757058491578513903479220,1778170433440,1778170437045,1778170437165,,,,,3724
88601940203789148386486823115306803058682846336311281480634660729224845425693,1778170433444,1778170439048,1778170439150,,,,,5705
88973622081430309158112774698460014485330481286331351009069191024142860795742,1778170608536,1778170611118,1778170613253,,,1778170611235,1778170613253,4716
36771346387371407228189453205052644257238388034966300084085020322729984200031,1778170617575,1778170623133,1778170623212,,,,,5637
76089545035456224413688470083637984627822358010662462091852335243871067777029,1778170629710,1778170637122,1778170637189,,,,,7479
70620414377945860777913602269520835649538573661563620753636440818347718571668,1778170433448,1778170441096,1778170441225,,,,,7776
53647125512033631951880880617520627977957981515901434408679120342143238327074,1778170599467,1778170601117,1778170601179,,,,,1712
5345981474468728088063813293430048259346344480404446635172961091272469502917,1778170629699,1778170633110,1778170633206,,,,,3506
41989458518507641034881285762592721680237565891788782722874640485552329644277,1778170356976,1778170359049,1778170365119,,,1778170359116,1778170365119,8143
69060494936263336911534739711015591054105594875934858523335838145589101321155,1778170455583,1778170461275,1778170461335,,,,,5751
4590549492300044575398018351593338389221513999348342802751020157488212850300,1778170491752,1778170497067,1778170497186,,,,,5434
