Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Broker1 Txs in this block,# of Broker2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Broker1 Txs) (Duration: Broker1 proposed -> Broker1 Commit)","SUM of confirm latency (ms, Broker2 Txs) (Duration: Broker2 proposed -> Broker2 Commit)"
1,0,91,204,105,27,1779097216578,1779097216729,519420,250853,34537
2,0,0,142,26,25,1779097218564,1779097218708,330901,24528,25050
3,0,93,122,7,9,1779097220585,1779097220907,358077,7331,13531
4,0,0,125,20,12,1779097222568,1779097222856,318322,18267,18116
5,0,0,215,45,36,1779097224547,1779097224702,433068,29625,29337
6,0,0,168,52,23,1779097226550,1779097226779,305979,33109,15379
7,0,0,112,40,13,1779097228546,1779097228674,177862,16786,9052
8,0,0,125,24,30,1779097230554,1779097230796,203305,7371,12208
9,0,15,136,0,3,1779097232589,1779097232904,340736,0,4179
10,0,9,115,15,2,1779097234562,1779097234780,238598,29146,2505
11,0,20,159,4,14,1779097236558,1779097236712,285678,7044,25226
12,0,5,191,6,22,1779097238593,1779097238799,348367,10346,46742
13,0,2,156,42,5,1779097240568,1779097240722,248953,64543,10457
14,0,0,127,74,3,1779097242570,1779097242765,191000,109657,5343
15,0,2,139,26,2,1779097244597,1779097244817,205050,37684,2292
16,0,3,131,48,2,1779097246570,1779097246740,171144,60494,4111
17,0,68,43,40,3,1779097248547,1779097248778,53370,47133,6237
18,0,115,110,39,3,1779097250604,1779097250896,278791,46845,3525
19,0,0,128,5,10,1779097252588,1779097252758,367091,4845,12199
20,0,149,167,12,6,1779097254623,1779097254882,485042,12040,6780
21,0,14,150,1,4,1779097256582,1779097256877,448460,916,8423
22,0,0,211,31,16,1779097258584,1779097258728,508599,21413,28888
23,0,0,187,58,8,1779097260583,1779097260734,378292,35721,11317
24,0,0,137,22,5,1779097262567,1779097262685,305928,10282,9218
25,0,0,120,0,6,1779097264594,1779097264794,303277,0,5526
27,1,5,25,0,25,1779097268945,1779097269488,80432,0,80432
28,1,0,25,0,25,1779097270540,1779097270677,18529,0,18529
