TxHash (Byte -> Big Int),Tx propose timestamp,Block propose timestamp,Tx finally commit timestamp,Relay1 Tx commit timestamp (not a relay tx -> nil),Relay2 Tx commit timestamp (not a relay tx -> nil),Broker1 Tx commit timestamp (not a broker tx -> nil),Broker2 Tx commit timestamp (not a broker tx -> nil),Confirmed latency of this tx (ms)
80792474897007377797687980538446317062622850439667190721374663064127682932631,1779097228203,1779097230985,1779097231240,,,,,3036
98984139329056097963885719055624425112725560858882703327005978070526926319276,1779097230366,1779097232269,1779097232425,,,,,2059
13143088031558816841531928856875329877361237735583701610721327191533236517803,1779097247600,1779097248999,1779097379173,,,1779097249275,1779097379173,131572
55423793831069873208723691936769180249471969794352621154062514571147326642998,1779097251753,1779097253006,1779097253090,,,,,1337
57767338195448872513623941597080502163544861641376473204019049805827646853883,1779097262215,1779097262275,1779097442858,,,1779097262404,1779097442858,180642
84710821100215608518287271282307122085884433426120574828545285317369795762964,1779097451200,1779097453144,1779097453212,,,,,2011
15007957286860524045290864959190138388540892820721721744439925254268040479269,1779097453284,1779097454537,1779097454644,,,,,1360
79535708376019602406961233461652236164883877631035010834869865950232606869387,1779097457427,1779097459070,1779097459271,,,,,1844
40965199825374900308139017234442079135367829130747280752372409556624728779662,1779097219818,1779097222760,1779097222963,,,,,3145
10143594868222649600195306182929845235518599008342142595663444669506767446088,1779097221941,1779097223444,1779097260841,,,1779097223559,1779097260841,38900
86399442611940446915750796517276669717835762142280225256850168753884151642060,1779097226117,1779097228491,1779097228633,,,,,2516
66693856534814260332665297955166802023852040738380462039571768922657458858809,1779097232832,1779097233448,1779097302757,,,1779097233560,1779097302757,69925
49772625050193228078915513472118276002121320105655952574959497213003126441574,1779097453268,1779097455079,1779097455152,,,,,1884
9221477024116372946498114090670044999939250808465868172244422905352999024164,1779097463732,1779097466888,1779097466972,,,,,3240
107012221796218119181763299790496763963762678750700327793431038417465832429674,1779097226074,1779097228405,1779097228515,,,,,2441
105341225570535759089035297969432743534754774239161727044913483395419430092769,1779097226101,1779097228737,1779097228872,,,,,2771
24310717962968037721476512362230750999531453825313381125048283201593354748162,1779097239119,1779097240771,1779097240901,,,,,1782
43386757001000215056973632316601150820821839326792450272359803823683201745851,1779097253874,1779097256582,1779097256877,,,,,3002
36259099595890091274032639813098247871143365026820448666450720375918856466201,1779097255908,1779097258709,1779097258866,,,,,2958
59627427233750248251807444681793069533166842797572230808636043924633429602782,1779097260120,1779097260632,1779097436723,,,1779097260841,1779097436723,176603
111434470856492330440988170322597604797454674259876923548080300092533820385624,1779097219856,1779097220427,1779097230824,,,1779097220631,1779097230824,10968
109860199922452528843512548976850736247499993958832675381737309788170820981548,1779097221910,1779097224495,1779097224585,,,,,2675
89206456798004111628663214746448535249729779397445315601864803877131158307298,1779097232759,1779097235440,1779097235567,,,,,2808
85196652909443198091439133732848019720634456769523568045498643226455400741136,1779097237058,1779097238996,1779097239081,,,,,2023
32413669869701099409468548195558322320150795410254839044448640102140102163116,1779097253832,1779097256285,1779097256417,,,,,2584
9281381474568030429308639739887417887252623756052583008229687018294255004129,1779097253868,1779097256285,1779097256417,,,,,2548
6742579344575187719229936929169459495128318249871149590929068387453202885896,1779097253837,1779097256582,1779097256877,,,,,3039
71580473291615291346556276366992273172983209893288638493176309232305269955812,1779097463789,1779097465069,1779097465151,,,,,1361
114656841941305583686268368355363049617136344650313161401418269104722427228307,1779097243371,1779097245001,1779097360499,,,1779097245214,1779097360499,117128
94641038195156332173754386309097866064989679299379834998721139046428366734013,1779097249671,1779097252432,1779097252555,,,,,2884
13088697167317385427806568296487626202921499049416306409526064292097996281801,1779097253868,1779097256827,1779097257003,,,,,3134
49110043206734465936825934887865036145298270895282178478185837073368262130610,1779097461629,1779097464490,1779097464550,,,,,2920
29402095956483288351299614532558227203393297647175633460875784296793444084579,1779097219821,1779097220999,1779097221124,,,,,1302
51099378262013335052130780638712048697883853407176554675087713923646208758699,1779097224041,1779097225052,1779097269551,,,1779097225208,1779097269551,45509
19955316440420423251109143787076569092093376700406910088063326791758465001165,1779097232707,1779097235063,1779097235151,,,,,2443
32782382362449396734019596965477285312154402093557445756286937812565184480800,1779097236981,1779097238428,1779097238610,,,,,1628
29265857519759674634023572898131732297539458299856761778668603146493820731325,1779097234887,1779097236508,1779097236632,,,,,1745
83846487622504929115504839335809473679563553703967341751912458727519574417447,1779097251727,1779097254730,1779097255020,,,,,3292
8947468156800251280633720007967735641742563335582101979153113057263284807000,1779097455370,1779097456597,1779097456707,,,,,1337
53415156468356987517776042542942083427599751624158450823357540901832526762266,1779097213520,1779097214994,1779097216654,,,1779097215189,1779097216654,3134
63550918866284388864735230008366119339741622354527369592220337092317742213771,1779097219858,1779097220427,1779097230917,,,1779097220631,1779097230917,11058
38908888197662384063668307791231903929189177567646341999952980066892774330851,1779097219859,1779097220492,1779097242922,,,1779097220890,1779097242922,23063
47270414954058500990648820468557736928705254966717946182281230686945852019610,1779097230490,1779097232538,1779097300667,,,1779097232818,1779097300667,70176
