Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,0,61,40,0,1778167599388,1778167599444,121735,79840,0
2,0,0,147,40,99,1778167601394,1778167601450,587823,159743,396126
3,0,30,136,53,74,1778167603395,1778167603512,823139,320579,448118
4,0,0,144,53,78,1778167605398,1778167605496,1156422,425504,626537
5,0,0,132,31,78,1778167607392,1778167607442,883626,60683,777995
6,0,0,126,24,94,1778167609396,1778167609457,499566,94924,373044
7,0,0,139,26,105,1778167611397,1778167611511,834631,155808,630862
8,0,0,146,33,99,1778167613396,1778167613506,1165826,263270,790882
9,0,43,142,33,93,1778167615399,1778167615481,1020279,63807,925528
10,0,33,135,18,101,1778167617397,1778167617518,535735,71384,400938
11,0,0,174,48,109,1778167619404,1778167619486,1031795,284464,646577
12,0,0,283,157,80,1778167621406,1778167621469,2236890,1240573,632822
13,0,3,424,270,44,1778167623405,1778167623513,1169410,519920,437690
14,0,4,360,260,12,1778167625428,1778167625573,1431022,1033434,47818
15,0,1,416,303,20,1778167627412,1778167627539,2467530,1797114,118833
16,0,42,82,48,1,1778167629405,1778167629516,647860,379240,7911
17,0,69,183,45,116,1778167631413,1778167631527,1275463,84648,1149429
18,0,0,319,178,83,1778167633410,1778167633479,1220471,680457,318297
19,0,0,315,207,39,1778167635415,1778167635501,1839077,1208339,227943
20,0,16,264,165,40,1778167637411,1778167637509,2069821,1293489,313830
21,0,59,100,36,53,1778167639407,1778167639540,609978,66603,523015
22,0,0,156,51,95,1778167641407,1778167641473,589837,192684,359379
23,0,0,143,38,94,1778167643410,1778167643488,828189,219983,544519
24,0,30,133,21,101,1778167645411,1778167645498,1037035,163650,787658
25,0,70,163,15,103,1778167647411,1778167647524,1119050,26957,1011305
26,0,0,271,77,182,1778167649413,1778167649492,1019155,288999,685106
27,0,0,113,27,63,1778167651405,1778167651500,650585,155294,363028
28,0,30,125,19,100,1778167653409,1778167653516,970580,147424,776598
30,1,0,65,0,65,1778167657666,1778167657739,778766,0,778766
31,1,0,32,26,0,1778167659405,1778167659455,45042,36593,0
32,1,0,113,42,56,1778167661411,1778167661487,388199,144118,192603
33,1,28,138,63,50,1778167663417,1778167663512,752566,343467,272822
34,1,30,81,24,37,1778167665412,1778167665522,604139,178938,276089
35,1,18,257,64,54,1778167667426,1778167667516,799728,91309,510255
36,1,0,424,115,31,1778167669439,1778167669525,1453897,394266,106632
37,1,4,359,107,0,1778167671436,1778167671514,1943211,579165,0
38,1,8,280,142,6,1778167673423,1778167673522,2076549,1053018,44519
39,1,14,49,27,14,1778167675412,1778167675525,180854,37817,131838
40,1,0,86,25,47,1778167677413,1778167677522,291925,84797,159646
41,1,0,409,264,50,1778167679428,1778167679507,2197399,1418196,268858
42,1,0,379,273,6,1778167681426,1778167681480,2782059,2003908,44081
43,1,3,396,314,4,1778167683421,1778167683487,551742,411911,37392
