TxHash (Byte -> Big Int),Tx propose timestamp,Block propose timestamp,Tx finally commit timestamp,Relay1 Tx commit timestamp (not a relay tx -> nil),Relay2 Tx commit timestamp (not a relay tx -> nil),Broker1 Tx commit timestamp (not a broker tx -> nil),Broker2 Tx commit timestamp (not a broker tx -> nil),Confirmed latency of this tx (ms)
100663673016107834927077206696441078251763170992415723244524253829711972615500,1778167597459,1778167601478,1778167603517,1778167601511,1778167603517,,,6058
48553712334357280835253907851786130091820146683254767935649868951345400417349,1778167666109,1778167673433,1778167673524,,,,,7415
486884883853313838883871876726891915958345459627347254851155476341566805979,1778167733955,1778167737441,1778167737528,,,,,3573
49578446173866322776919380415904447923943951571313042555782641808650940342497,1778167733967,1778167739528,1778167741526,1778167739561,1778167741526,,,7558
34530985574537652954914186672142670760194357559909372091449402666057619945908,1778167846231,1778167849572,1778167851692,1778167849638,1778167851692,,,5460
102618689906040273079672962751359499967943544891674988800493266821776347784009,1778167698323,1778167701452,1778167703624,1778167701558,1778167703624,,,5300
75910456503970378324030981994215765800196360339717669855242481300593205025491,1778167758073,1778167759611,1778167759668,,,,,1595
74622974254572685690743371969944463115717365237523245012848007802916417994850,1778167758073,1778167759611,1778167759668,,,,,1595
17274351799299591309499318365948362629334492382051509432802108548702189552829,1778167794586,1778167797626,1778167797669,,,,,3083
85183476599319193716013881851562071668836412283016726061004674347496040839880,1778167854277,1778167859596,1778167859647,,,,,5370
48695276692869669745985989412882196420679781294034505831183552534376124551325,1778167862314,1778167863496,1778167863576,,,,,1261
18644836068540560406915254768676623503183702198040444555023397574578047082451,1778167605526,1778167613432,1778167615502,1778167613510,1778167615502,,,9975
195352564342521916711706079411662154667499520353818561018168808113102539081,1778167666084,1778167667436,1778167669544,1778167667513,1778167669544,,,3460
37454877311212229507889186643647299686449337097985676628692274594744268227733,1778167717878,1778167725527,1778167727521,1778167725580,1778167727521,,,9642
38966266713173282881953805195888859671494555637053530982812239234297343052059,1778167802669,1778167807603,1778167809574,1778167807641,1778167809574,,,6905
66602426799271594397134415722316650761880277305595581959951116346579825967694,1778167802678,1778167809609,1778167809649,,,,,6971
108546629471943503122930916307494825245217061223592562865989326776607069860838,1778167818754,1778167825601,1778167825654,,,,,6899
82607736244062094892638377920701495888008684456532162136913100849093823410674,1778167818758,1778167825601,1778167827603,1778167825654,1778167827603,,,8845
40944466507285608140458231311049034139330395549004321385041410464752855270078,1778167838207,1778167845506,1778167845563,,,,,7355
55616012411501343995938303255110046914598180499009773600484535673334015981188,1778167621597,1778167625428,1778167625573,,,,,3975
16493434831254770249615879119093695178934978624693580349269073466306544689085,1778167666103,1778167671436,1778167671514,,,,,5411
109392599895469349727711367548083434683638975940696972097574424696779936671888,1778167690253,1778167693465,1778167693577,,,,,3323
56780202183546862316367506909737498887928275462723785196377581165051415196131,1778167706347,1778167707470,1778167707515,,,,,1168
31752165035965211380158359313554022157969064211723993963531318068116197588361,1778167733962,1778167737496,1778167739520,1778167737552,1778167739520,,,5558
100563061122732641377646892004277322045013659424116252321079866299749584443007,1778167742001,1778167745467,1778167747599,1778167745522,1778167747599,,,5598
48619195648373786867912297094337298080450975500790006526482013594329187149344,1778167750047,1778167755517,1778167755590,,,,,5542
71135577300757149221667443603241811399870826074999450282136619559882386820720,1778167802676,1778167809609,1778167811565,1778167809649,1778167811565,,,8888
28266387337220687446181820229706835399893209867025983225408163248427370147245,1778167613550,1778167615418,1778167617518,1778167615477,1778167617518,,,3968
