Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Broker1 Txs in this block,# of Broker2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Broker1 Txs) (Duration: Broker1 proposed -> Broker1 Commit)","SUM of confirm latency (ms, Broker2 Txs) (Duration: Broker2 proposed -> Broker2 Commit)"
1,0,0,71,71,0,1778168025391,1778168025455,137678,137678,0
2,0,0,138,103,35,1778168027395,1778168027461,441150,406185,34965
3,0,0,136,3,80,1778168029403,1778168029480,439348,17886,104000
4,0,0,90,0,21,1778168031395,1778168031474,570140,0,20034
5,0,0,102,43,17,1778168033404,1778168033502,477827,40532,17562
6,0,0,85,65,20,1778168035396,1778168035469,227749,189049,38700
7,0,0,111,0,11,1778168037396,1778168037459,502649,0,11014
8,0,0,113,0,19,1778168039401,1778168039440,664274,0,16701
9,0,0,104,0,38,1778168041399,1778168041474,628081,0,39461
10,0,0,105,90,15,1778168043401,1778168043529,188144,173834,14310
11,0,0,165,43,64,1778168045410,1778168045480,491705,166886,98111
12,0,0,116,0,15,1778168047409,1778168047506,611853,0,13365
13,0,0,162,0,61,1778168049408,1778168049453,862687,0,68420
14,0,0,201,191,5,1778168051404,1778168051486,212499,158803,4235
15,0,0,158,72,11,1778168053403,1778168053486,435348,203814,16244
16,0,0,164,0,13,1778168055412,1778168055489,745163,0,10725
17,0,0,95,0,1,1778168057406,1778168057472,644598,0,1806
18,0,0,61,0,9,1778168059412,1778168059488,467195,0,7200
19,0,0,82,65,17,1778168061408,1778168061489,146762,116213,30549
20,0,0,106,0,18,1778168063406,1778168063484,352787,0,17838
21,0,0,152,0,50,1778168065409,1778168065452,650443,0,62676
22,0,0,95,0,0,1778168067407,1778168067487,740175,0,0
23,0,0,73,48,0,1778168069409,1778168069486,280112,35424,0
24,0,0,102,93,9,1778168071414,1778168071466,261444,252667,8777
25,0,0,114,0,21,1778168073414,1778168073476,469276,0,27580
26,0,0,120,0,18,1778168075411,1778168075459,720816,0,35262
27,0,0,127,0,59,1778168077415,1778168077482,682320,0,88166
29,1,0,0,0,0,1778168081529,1778168081615,0,0,0
30,1,0,161,161,0,1778168083414,1778168083473,255506,255506,0
31,1,5,37,28,9,1778168085414,1778168085518,110922,101605,9317
32,1,0,79,0,14,1778168087419,1778168087475,383355,0,18828
33,1,0,115,0,17,1778168089425,1778168089477,778515,0,33773
34,1,0,121,23,70,1778168091427,1778168091494,397616,12857,115596
35,1,0,147,118,29,1778168093422,1778168093488,329094,301074,28020
36,1,0,61,5,24,1778168095422,1778168095509,205719,22865,35622
37,1,0,137,0,26,1778168097424,1778168097489,753701,0,24779
38,1,0,185,0,66,1778168099424,1778168099469,1101442,0,85208
39,1,0,96,30,4,1778168101419,1778168101481,143167,44926,3716
40,1,0,93,0,4,1778168103425,1778168103528,323043,0,5891
41,1,0,116,0,16,1778168105423,1778168105466,563743,0,14256
42,1,0,146,0,34,1778168107431,1778168107500,882734,0,40239
43,1,0,57,42,0,1778168109423,1778168109491,161578,18942,0
44,1,11,77,20,16,1778168111427,1778168111507,168014,49340,16143
45,1,0,107,0,16,1778168113432,1778168113485,433193,0,26687
46,1,0,139,0,21,1778168115429,1778168115503,806334,0,41895
47,1,0,90,0,22,1778168117425,1778168117525,611914,0,34214
48,1,0,51,7,0,1778168119425,1778168119493,73352,9968,0
49,1,0,87,0,4,1778168121428,1778168121471,287295,0,3892
50,1,0,113,0,15,1778168123429,1778168123494,553347,0,20883
51,1,0,99,0,0,1778168125432,1778168125495,735563,0,0
52,1,0,49,11,0,1778168127425,1778168127470,361366,4070,0
53,1,4,111,0,6,1778168129429,1778168129478,257460,0,6024
54,1,0,108,0,6,1778168131433,1778168131546,465217,0,10416
55,1,0,97,0,0,1778168133434,1778168133507,622311,0,0
56,1,0,81,0,0,1778168135432,1778168135487,679637,0,0
58,2,0,0,0,0,1778168139548,1778168139666,0,0,0
59,2,0,89,89,0,1778168141472,1778168141536,116807,116807,0
60,2,0,64,4,18,1778168143458,1778168143503,169479,13116,17261
61,2,0,115,0,18,1778168145471,1778168145526,550480,0,33604
62,2,0,110,0,21,1778168147480,1778168147544,694653,0,41811
63,2,4,95,64,0,1778168149461,1778168149559,307860,18304,0
64,2,0,104,100,4,1778168151457,1778168151512,231587,223784,7803
65,2,0,88,29,24,1778168153447,1778168153504,297017,122632,25348
66,2,0,87,0,7,1778168155453,1778168155485,511693,0,13356
67,2,0,93,0,24,1778168157452,1778168157515,608225,0,39203
68,2,0,112,88,24,1778168159441,1778168159528,153670,107298,46372
69,2,0,118,0,20,1778168161462,1778168161532,343887,0,26376
70,2,0,114,0,19,1778168163455,1778168163507,530359,0,35397
71,2,0,183,0,60,1778168165474,1778168165518,965212,0,77591
72,2,0,77,56,0,1778168167443,1778168167493,200920,7974,0
73,2,0,84,74,10,1778168169446,1778168169493,168337,158395,9942
74,2,0,100,14,40,1778168171447,1778168171504,307277,58113,56958
75,2,0,120,0,19,1778168173462,1778168173502,660889,0,37857
76,2,0,103,0,24,1778168175457,1778168175511,689155,0,43844
77,2,0,142,79,63,1778168177453,1778168177511,213048,87947,125101
78,2,0,48,27,21,1778168179445,1778168179488,112423,83398,29025
79,2,0,149,0,30,1778168181455,1778168181515,670793,0,58971
80,2,0,127,0,41,1778168183470,1778168183524,687770,0,73592
81,2,54,96,0,57,1778168185448,1778168185503,465836,0,110523
82,2,52,154,97,57,1778168187451,1778168187509,293280,198995,94285
83,2,63,140,0,24,1778168189461,1778168189519,507976,0,34037
84,2,51,154,0,29,1778168191472,1778168191532,795742,0,34634
85,2,20,109,0,4,1778168193454,1778168193510,850006,0,3528
87,3,0,34,0,14,1778168197590,1778168197646,300017,0,56197
88,3,0,70,26,0,1778168199455,1778168199517,132817,48637,0
89,3,0,99,0,3,1778168201462,1778168201526,378632,0,3012
90,3,0,96,0,1,1778168203467,1778168203517,560767,0,991
91,3,0,97,0,0,1778168205464,1778168205534,766335,0,0
92,3,0,57,23,0,1778168207454,1778168207512,354219,18630,0
93,3,3,82,0,0,1778168209466,1778168209530,234835,0,0
94,3,0,100,0,6,1778168211463,1778168211509,463236,0,8925
95,3,0,98,0,0,1778168213457,1778168213490,666936,0,0
96,3,0,87,0,0,1778168215464,1778168215516,767255,0,0
97,3,0,58,11,0,1778168217463,1778168217543,105716,19811,0
98,3,0,98,0,1,1778168219463,1778168219541,371344,0,994
99,3,0,100,0,2,1778168221461,1778168221512,568513,0,1920
100,3,0,84,0,0,1778168223464,1778168223544,655850,0,0
101,3,0,109,61,0,1778168225468,1778168225523,514596,45018,0
102,3,11,120,0,14,1778168227466,1778168227544,309616,0,14238
103,3,0,112,0,18,1778168229465,1778168229511,474712,0,28623
104,3,0,69,0,0,1778168231474,1778168231538,466845,0,0
105,3,0,59,0,0,1778168233502,1778168233558,517778,0,0
106,3,0,124,124,0,1778168235488,1778168235547,211917,211917,0
107,3,0,89,18,26,1778168237502,1778168237552,261310,66834,25923
108,3,34,107,0,30,1778168239505,1778168239572,494478,0,51378
109,3,6,127,0,34,1778168241529,1778168241581,789423,0,68476
110,3,0,106,57,18,1778168243481,1778168243549,362609,37917,23532
111,3,0,90,38,13,1778168245482,1778168245528,216920,100452,12209
112,3,0,131,0,13,1778168247492,1778168247545,568880,0,16386
113,3,0,130,0,21,1778168249490,1778168249579,772625,0,41622
114,3,0,89,0,11,1778168251481,1778168251535,688329,0,13201
116,4,0,0,0,0,1778168255631,1778168255695,0,0,0
117,4,0,43,43,0,1778168257471,1778168257530,65972,65972,0
118,4,30,131,0,21,1778168259491,1778168259550,416220,0,21315
119,4,0,148,0,54,1778168261497,1778168261554,609542,0,84773
120,4,0,113,0,0,1778168263480,1778168263521,851684,0,0
121,4,0,105,73,0,1778168265471,1778168265508,339222,34670,0
122,4,8,100,0,4,1778168267489,1778168267538,246272,0,4096
123,4,0,204,0,16,1778168269534,1778168269624,890681,0,25720
124,4,0,97,0,0,1778168271491,1778168271560,633594,0,0
125,4,0,47,0,0,1778168273481,1778168273531,399478,0,0
126,4,0,121,72,0,1778168275480,1778168275541,178436,105200,0
127,4,27,102,0,8,1778168277487,1778168277554,336930,0,8064
128,4,0,228,0,44,1778168279551,1778168279596,1090580,0,73055
129,4,0,118,0,0,1778168281493,1778168281534,880049,0,0
130,4,0,53,51,0,1778168283474,1778168283544,40434,21502,0
131,4,23,99,0,10,1778168285493,1778168285572,230418,0,10230
132,4,0,138,0,41,1778168287553,1778168287625,505493,0,67003
133,4,0,128,0,0,1778168289491,1778168289576,827459,0,0
134,4,0,46,0,0,1778168291496,1778168291549,387786,0,0
135,4,19,97,97,0,1778168293538,1778168293636,141865,141865,0
136,4,33,121,0,19,1778168295551,1778168295643,394875,0,38361
137,4,0,167,0,52,1778168297503,1778168297550,700603,0,80597
138,4,0,103,0,0,1778168299490,1778168299538,759126,0,0
139,4,0,62,41,0,1778168301512,1778168301602,213876,15807,0
140,4,0,95,27,17,1778168303498,1778168303581,202307,63801,16524
141,4,0,93,0,18,1778168305485,1778168305547,346026,0,19818
142,4,0,115,0,14,1778168307491,1778168307553,668082,0,27090
143,4,0,97,0,18,1778168309487,1778168309543,679645,0,21526
145,5,0,0,0,0,1778168313667,1778168313723,0,0,0
146,5,0,94,28,0,1778168315495,1778168315575,119115,35168,0
147,5,0,112,0,9,1778168317490,1778168317536,341203,0,8604
148,5,0,93,0,10,1778168319502,1778168319583,449519,0,11984
149,5,0,89,0,0,1778168321497,1778168321572,645818,0,0
150,5,0,70,42,0,1778168323486,1778168323538,265734,7560,0
151,5,7,93,16,14,1778168325497,1778168325547,188494,35008,14022
152,5,0,128,0,35,1778168327547,1778168327649,445957,0,45406
153,5,0,82,0,1,1778168329514,1778168329561,504210,0,988
154,5,0,98,0,24,1778168331529,1778168331578,639597,0,31041
155,5,0,84,84,0,1778168333496,1778168333542,94487,94487,0
156,5,35,100,18,37,1778168335508,1778168335556,236048,56502,37232
157,5,40,147,0,47,1778168337514,1778168337583,601298,0,83303
158,5,8,143,0,40,1778168339515,1778168339615,824165,0,82056
