EpochID,Total tx # in this epoch,Normal tx # in this epoch,Broker1 tx # in this epoch,Broker2 tx # in this epoch,Epoch start time,Epoch end time,Avg. TPS of this epoch
0,9600.00000000000000000000000000000000000000000000000000000000,6520,3080,3080,1778168025391,1778168077601,183.87412155735592023120261728763580322265625000000000000000
1,9600.00000000000000000000000000000000000000000000000000000000,7753,1847,1847,1778168083414,1778168135598,183.96728822273956893695867620408535003662109375000000000000
2,9552.00000000000000000000000000000000000000000000000000000000,6559,3021,2965,1778168141472,1778168193652,183.05803322563053825433598831295967102050781250000000000000
3,9648.00000000000000000000000000000000000000000000000000000000,8546,1074,1130,1778168197540,1778168251713,178.09518376940346229275746736675500869750976562500000000000
4,9600.00000000000000000000000000000000000000000000000000000000,8172,1428,1428,1778168257471,1778168309668,183.91777788757519829232478514313697814941406250000000000000
5,9414.00000000000000000000000000000000000000000000000000000000,8474,940,940,1778168315495,1778168367777,180.06118583068672478475491516292095184326171875000000000000
6,9786.00000000000000000000000000000000000000000000000000000000,8147,1639,1639,1778168371646,1778168425872,180.46781837270697224084869958460330963134765625000000000000
7,9531.00000000000000000000000000000000000000000000000000000000,8047,1484,1484,1778168431536,1778168483753,182.52917049606057275923376437276601791381835937500000000000
8,9522.00000000000000000000000000000000000000000000000000000000,8183,1339,1339,1778168487636,1778168541783,175.85497302000001695887476671487092971801757812500000000000
9,9710.00000000000000000000000000000000000000000000000000000000,8603,1107,1107,1778168545691,1778168599911,179.08584478588397814746713265776634216308593750000000000000
10,9611.00000000000000000000000000000000000000000000000000000000,8628,983,983,1778168604086,1778168657828,178.83463816647676480897644069045782089233398437500000000000
11,9626.00000000000000000000000000000000000000000000000000000000,8587,1039,1039,1778168661680,1778168715808,177.83862131275915885453287046402692794799804687500000000000
12,9572.00000000000000000000000000000000000000000000000000000000,8931,641,641,1778168721623,1778168773900,183.10008307385626835639413911849260330200195312500000000000
13,9628.00000000000000000000000000000000000000000000000000000000,8360,1268,1268,1778168777724,1778168831872,177.80745341247981627930130343884229660034179687500000000000
14,9509.00000000000000000000000000000000000000000000000000000000,8704,805,805,1778168837640,1778168889974,181.69784437411132671513769309967756271362304687500000000000
15,6091.00000000000000000000000000000000000000000000000000000000,5881,210,210,1778168893805,1778168927885,178.72185925120933802645595278590917587280273437500000000000
