EpochID,Total tx # in this epoch,CTX # in this epoch,Normal tx # in this epoch,Broker1 tx # in this epoch,Broker2 tx # in this epoch,CTX ratio of this epoch
0,9600.00000000000000000000000000000000000000000000000000000000,3080.00000000000000000000000000000000000000000000000000000000,6520,3080,3080,0.32083333333333335923853724125365260988473892211914062500
1,9600.00000000000000000000000000000000000000000000000000000000,1847.00000000000000000000000000000000000000000000000000000000,7753,1847,1847,0.19239583333333332149095440399833023548126220703125000000
2,9552.00000000000000000000000000000000000000000000000000000000,2993.00000000000000000000000000000000000000000000000000000000,6559,3021,2965,0.31333752093802347271633834679960273206233978271484375000
3,9648.00000000000000000000000000000000000000000000000000000000,1102.00000000000000000000000000000000000000000000000000000000,8546,1074,1130,0.11422056384742951262722954197670333087444305419921875000
4,9600.00000000000000000000000000000000000000000000000000000000,1428.00000000000000000000000000000000000000000000000000000000,8172,1428,1428,0.14874999999999999333866185224906075745820999145507812500
5,9414.00000000000000000000000000000000000000000000000000000000,940.00000000000000000000000000000000000000000000000000000000,8474,940,940,0.09985128531973656851317144855784135870635509490966796875
6,9786.00000000000000000000000000000000000000000000000000000000,1639.00000000000000000000000000000000000000000000000000000000,8147,1639,1639,0.16748416104639279877730473344854544848203659057617187500
7,9531.00000000000000000000000000000000000000000000000000000000,1484.00000000000000000000000000000000000000000000000000000000,8047,1484,1484,0.15570244465428600966205863187497016042470932006835937500
8,9522.00000000000000000000000000000000000000000000000000000000,1339.00000000000000000000000000000000000000000000000000000000,8183,1339,1339,0.14062171812644402857372938342450652271509170532226562500
9,9710.00000000000000000000000000000000000000000000000000000000,1107.00000000000000000000000000000000000000000000000000000000,8603,1107,1107,0.11400617919670442967916557108765118755400180816650390625
10,9611.00000000000000000000000000000000000000000000000000000000,983.00000000000000000000000000000000000000000000000000000000,8628,983,983,0.10227863905941109168296065945469308644533157348632812500
11,9626.00000000000000000000000000000000000000000000000000000000,1039.00000000000000000000000000000000000000000000000000000000,8587,1039,1039,0.10793683773114481905253114746301434934139251708984375000
12,9572.00000000000000000000000000000000000000000000000000000000,641.00000000000000000000000000000000000000000000000000000000,8931,641,641,0.06696615127455077254303716927097411826252937316894531250
13,9628.00000000000000000000000000000000000000000000000000000000,1268.00000000000000000000000000000000000000000000000000000000,8360,1268,1268,0.13169921063564601904083417593938065692782402038574218750
14,9509.00000000000000000000000000000000000000000000000000000000,805.00000000000000000000000000000000000000000000000000000000,8704,805,805,0.08465664107687453920902953541371971368789672851562500000
15,6091.00000000000000000000000000000000000000000000000000000000,210.00000000000000000000000000000000000000000000000000000000,5881,210,210,0.03447709735675586611991505492369469720870256423950195312
