EpochID,Total tx # in this epoch,Normal tx # in this epoch,Broker1 tx # in this epoch,Broker2 tx # in this epoch,Sum of Broker1 TCL (ms) (Duration: Broker1 Tx Propose -> Broker1 Tx Commit),Sum of Broker2 TCL (ms) (Duration: Broker2 Tx Propose -> Broker2 Tx Commit),Sum of innerShardTx TCL (ms),Sum of CTX TCL (ms) (Duration: Broker1 Tx Propose -> Broker2 Tx Commit),Sum of All Tx TCL (sec.)
0,9600.00000000000000000000000000000000000000000000000000000000,6520,3080,3080,7207120,3787141,42825173,21353771,64183.74005979868525173515081405639648437500000000000000000000
1,9600.00000000000000000000000000000000000000000000000000000000,7753,1847,1847,3606696,1944184,45007671,10482200,55494.69694953936414094641804695129394531250000000000000000000
2,9552.00000000000000000000000000000000000000000000000000000000,6559,3021,2965,5185109,4133192,40458748,19763358,60226.85323911404702812433242797851562500000000000000000000000
3,9648.00000000000000000000000000000000000000000000000000000000,8546,1074,1130,1726000,1569321,50512951,5843972,56361.74679602609830908477306365966796875000000000000000000000
4,9600.00000000000000000000000000000000000000000000000000000000,8172,1428,1428,1740407,1703427,44589936,5885992,50480.66493278382404241710901260375976562500000000000000000000
5,9414.00000000000000000000000000000000000000000000000000000000,8474,940,940,1217058,1110452,46742668,4241716,50989.07263206206698669120669364929199218750000000000000000000
6,9786.00000000000000000000000000000000000000000000000000000000,8147,1639,1639,2410442,1910084,50634253,7297143,57936.23389967974071623757481575012207031250000000000000000000
7,9531.00000000000000000000000000000000000000000000000000000000,8047,1484,1484,1837581,1891203,44363517,6133373,50501.74551361890189582481980323791503906250000000000000000000
8,9522.00000000000000000000000000000000000000000000000000000000,8183,1339,1339,1925631,1540742,49631957,5669776,55306.49956449193268781527876853942871093750000000000000000000
9,9710.00000000000000000000000000000000000000000000000000000000,8603,1107,1107,1245389,1240084,47274452,4624142,51903.47650002619047882035374641418457031250000000000000000000
10,9611.00000000000000000000000000000000000000000000000000000000,8628,983,983,1397062,1371234,50783060,4071716,54859.59401557994715403765439987182617187500000000000000000000
11,9626.00000000000000000000000000000000000000000000000000000000,8587,1039,1039,1119365,1222502,48392091,4001640,52398.54354074295406462624669075012207031250000000000000000000
12,9572.00000000000000000000000000000000000000000000000000000000,8931,641,641,867625,756134,51180957,2579043,53764.89470321081171277910470962524414062500000000000000000000
13,9628.00000000000000000000000000000000000000000000000000000000,8360,1268,1268,1457332,1880836,49586010,5651990,55242.75714143705408787354826927185058593750000000000000000000
14,9509.00000000000000000000000000000000000000000000000000000000,8704,805,805,1188723,992151,50671651,3266451,53942.77011890090216184034943580627441406250000000000000000000
15,6091.00000000000000000000000000000000000000000000000000000000,5881,210,210,134855,278985,32703611,772773,33479.45121227200434077531099319458007812500000000000000000000
