TxHash (Byte -> Big Int),Tx propose timestamp,Block propose timestamp,Tx finally commit timestamp,Relay1 Tx commit timestamp (not a relay tx -> nil),Relay2 Tx commit timestamp (not a relay tx -> nil),Broker1 Tx commit timestamp (not a broker tx -> nil),Broker2 Tx commit timestamp (not a broker tx -> nil),Confirmed latency of this tx (ms)
20868901056238362696027335600550293728427413988312149332177300600870287151192,1778168050655,1778168053403,1778168059516,,,1778168053486,1778168059516,8860
39935131834951405581681276661906068533929040809111572384742788519616565191562,1778168206668,1778168209552,1778168209585,,,,,2917
10802190923855449514260706936649027310022306335948894973205559012123206980962,1778168242856,1778168245482,1778168245528,,,,,2672
113530273409896037848343606207094744958023768165505876148723023697540212779308,1778168497825,1778168501787,1778168501845,,,,,4020
64712887277230388987253100792041275550593284711492082749617026160842069962339,1778168823513,1778168831728,1778168831772,,,,,8258
53606376717843709271883889703734852537710937116311160955022595094679552473462,1778168903180,1778168911830,1778168911880,,,,,8700
56305376667791138190441660548504976723017395176319818776197383589593616432925,1778168921303,1778168925782,1778168925832,,,,,4528
94262254451275573474834510110262568650501746926523758459926240538381905980027,1778168023514,1778168025537,1778168029480,,,1778168025588,1778168029480,5965
83900470313405263290663932079295638057555486699764916805663399096597798582,1778168118064,1778168125566,1778168125604,,,,,7540
63979087087090664596167192443070303522924971485983087657901836860559274104386,1778168255988,1778168265573,1778168265609,,,,,9620
54499623985776879618231011600426686077795777222182657730294662885345290324573,1778168283113,1778168289593,1778168289652,,,,,6538
23826096884134980461722899624564858681936275933705537276250979452398223195574,1778168430273,1778168433791,1778168433846,,,,,3572
59432771093369816234265744227321082325329431355282550115994644234559501534150,1778168497833,1778168501670,1778168501730,,,,,3896
53789403927614760662115347681645610334949839250009618130516958994053901418644,1778168546239,1778168551706,1778168551755,,,,,5516
61788248612277206468013955162016622003855534474069782158194286978109471670968,1778168787168,1778168791697,1778168791789,,,,,4620
104077081596243337570848010825304731268417811989159855385941118456770113495971,1778168408063,1778168415626,1778168415678,,,,,7614
18727750455639398492350653501549627636370787808592538617708221885589140591234,1778168738801,1778168747754,1778168747801,,,,,8999
95093911762727253135227533059074267953095626661510138766742327405833444318836,1778168805293,1778168809761,1778168809836,,,,,4542
110326101826878283654464373878770233379855026262166529252124120801290557352896,1778168631871,1778168635617,1778168635672,,,,,3800
20211100529372898256609893879987953936810449109059258984716317370090113688634,1778168041599,1778168045540,1778168053557,,,1778168045585,1778168053557,11957
72362855345196434483221612098089668423251053125349623092790590789826311257474,1778168090920,1778168097513,1778168097552,,,,,6631
20442405566368795873345684088068032102905982681256992121414773755594995511864,1778168158308,1778168159580,1778168165518,,,1778168159646,1778168165518,7210
39321030109091301618333207502106318465188481630472954247329032479017911799182,1778168301207,1778168307634,1778168307666,,,,,6458
67056661128463489906989287383838190214113894133716339458721333848250188458381,1778168534098,1778168541727,1778168541783,,,,,7685
49438025001295657204430283428103869540216200927866917275986822838366065551328,1778168787216,1778168787769,1778168790124,,,1778168787856,1778168790124,2908
29655031820934919573993617802787336167718424631406679157640229702809740760771,1778168197616,1778168201593,1778168201652,,,,,4036
24880219018722225487046057407588587938755339277413996715896619542486297579925,1778168224770,1778168231725,1778168231790,,,,,7020
102725956676238129297650703042519671713546027433171867854111333593521355106902,1778168380860,1778168383668,1778168383748,,,,,2887
13856021274891286761383988738248702578649909022962151479213223601082451348058,1778168555317,1778168559764,1778168559831,,,,,4514
94424680342726088192408736447369133978707634638721786284273563654359123492828,1778168622841,1778168631774,1778168631839,,,,,8997
2464289315020308774506873934750714590726725458637569293941678347743896970559,1778168680253,1778168683702,1778168683745,,,,,3491
85176113492374150005160664668949028774702199441996011495398452349777728970022,1778168863840,1778168865722,1778168867997,,,1778168865772,1778168867997,4156
109475976975072126713040128717762233424477087061961886375319692071471259725540,1778168050633,1778168057467,1778168057518,,,,,6885
15030398751940801898109720306145390138565386592312607929123761385739385103943,1778168109018,1778168113515,1778168113552,,,,,4534
71038137168918900092199588321562600540468358467625784425956438918224058521071,1778168140210,1778168147609,1778168147661,,,,,7450
