EpochID,Total tx # in this epoch,Normal tx # in this epoch,Broker1 tx # in this epoch,Broker2 tx # in this epoch
0,9600.00000000000000000000000000000000000000000000000000000000,6520,3080,3080
1,9600.00000000000000000000000000000000000000000000000000000000,7753,1847,1847
2,9552.00000000000000000000000000000000000000000000000000000000,6559,3021,2965
3,9648.00000000000000000000000000000000000000000000000000000000,8546,1074,1130
4,9600.00000000000000000000000000000000000000000000000000000000,8172,1428,1428
5,9414.00000000000000000000000000000000000000000000000000000000,8474,940,940
6,9786.00000000000000000000000000000000000000000000000000000000,8147,1639,1639
7,9531.00000000000000000000000000000000000000000000000000000000,8047,1484,1484
8,9522.00000000000000000000000000000000000000000000000000000000,8183,1339,1339
9,9710.00000000000000000000000000000000000000000000000000000000,8603,1107,1107
10,9611.00000000000000000000000000000000000000000000000000000000,8628,983,983
11,9626.00000000000000000000000000000000000000000000000000000000,8587,1039,1039
12,9572.00000000000000000000000000000000000000000000000000000000,8931,641,641
13,9628.00000000000000000000000000000000000000000000000000000000,8360,1268,1268
14,9509.00000000000000000000000000000000000000000000000000000000,8704,805,805
15,6091.00000000000000000000000000000000000000000000000000000000,5881,210,210
