Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,8,47,36,0,1778157543639,1778157543702,37989,29090,0
2,0,0,87,41,34,1778157544136,1778157544168,110562,51985,43335
3,0,0,34,0,34,1778157544640,1778157544711,61576,0,61576
4,0,0,46,36,0,1778157545137,1778157545218,106317,83201,0
5,0,0,24,0,24,1778157545639,1778157545696,66995,0,66995
6,0,25,14,11,0,1778157546138,1778157546227,46414,36470,0
7,0,0,34,0,34,1778157546640,1778157546722,129561,0,129561
8,0,0,24,20,0,1778157547138,1778157547198,102780,85650,0
9,0,0,35,0,35,1778157547644,1778157547696,167314,0,167314
10,0,12,22,18,0,1778157548141,1778157548218,116580,95386,0
11,0,0,26,0,26,1778157548642,1778157548711,150593,0,150593
12,0,3,36,31,0,1778157549143,1778157549215,226506,195044,0
13,0,0,29,0,29,1778157549644,1778157549697,196429,0,196429
14,0,1,62,55,0,1778157550144,1778157550202,450953,400034,0
15,0,0,16,0,16,1778157550643,1778157550699,124324,0,124324
16,0,13,31,26,0,1778157551146,1778157551238,9141,7666,0
17,0,0,31,0,31,1778157551647,1778157551710,23760,0,23760
18,0,0,12,10,0,1778157552147,1778157552240,15484,12904,0
19,0,0,35,0,35,1778157552649,1778157552711,61706,0,61706
20,0,0,19,15,0,1778157553148,1778157553247,43588,34415,0
21,0,0,34,0,34,1778157553651,1778157553724,94223,0,94223
22,0,23,28,24,0,1778157554149,1778157554206,90946,77952,0
23,0,0,40,0,40,1778157554650,1778157554699,149658,0,149658
24,0,10,18,16,0,1778157555166,1778157555244,77089,68524,0
25,0,0,31,0,31,1778157555653,1778157555706,147118,0,147118
26,0,14,32,21,0,1778157556154,1778157556215,168043,110283,0
27,0,0,45,0,45,1778157556659,1778157556713,258733,0,258733
28,0,0,26,18,0,1778157557155,1778157557232,162915,112789,0
29,0,0,51,0,51,1778157557655,1778157557708,343755,0,343755
30,0,0,7,6,0,1778157558154,1778157558207,50661,43424,0
31,0,0,42,0,42,1778157558656,1778157558701,324665,0,324665
32,0,6,27,20,0,1778157559162,1778157559222,6201,4592,0
33,0,0,30,0,30,1778157559659,1778157559714,21666,0,21666
34,0,25,20,17,0,1778157560164,1778157560232,24735,21024,0
35,0,0,47,0,47,1778157560664,1778157560732,81592,0,81592
36,0,0,12,8,0,1778157561160,1778157561212,26572,17716,0
37,0,0,45,0,45,1778157561660,1778157561711,122038,0,122038
38,0,28,16,12,0,1778157562160,1778157562223,51520,38638,0
39,0,0,36,0,36,1778157562662,1778157562710,133465,0,133465
40,0,0,19,16,0,1778157563161,1778157563233,80308,67630,0
41,0,0,43,0,43,1778157563667,1778157563721,202737,0,202737
42,0,3,57,44,0,1778157564166,1778157564232,297642,229765,0
43,0,0,28,0,28,1778157564666,1778157564736,160357,0,160357
44,0,10,38,33,0,1778157565165,1778157565234,236436,205325,0
45,0,0,29,0,29,1778157565665,1778157565717,194418,0,194418
46,0,4,9,9,0,1778157566164,1778157566222,64871,64871,0
47,0,0,44,0,44,1778157566666,1778157566702,338175,0,338175
48,0,0,2,2,0,1778157567164,1778157567215,366,366,0
49,0,0,50,0,50,1778157567671,1778157567720,34554,0,34554
50,0,1,3,2,0,1778157568167,1778157568262,3678,2452,0
51,0,0,50,0,50,1778157568671,1778157568760,86200,0,86200
52,0,5,5,3,0,1778157569167,1778157569231,10965,6579,0
53,0,0,50,0,50,1778157569673,1778157569733,134691,0,134691
54,0,2,7,6,0,1778157570171,1778157570244,22423,19220,0
55,0,0,44,0,44,1778157570671,1778157570730,162333,0,162333
56,0,0,0,0,0,1778157571167,1778157571220,0,0,0
57,0,0,57,0,57,1778157571672,1778157571727,267013,0,267013
58,0,1,0,0,0,1778157572169,1778157572248,0,0,0
59,0,0,50,0,50,1778157572676,1778157572734,284422,0,284422
60,0,0,25,21,0,1778157573178,1778157573292,156079,131103,0
61,0,0,37,0,37,1778157573675,1778157573745,247734,0,247734
62,0,23,21,19,0,1778157574175,1778157574247,150938,136572,0
63,0,0,45,0,45,1778157574675,1778157574746,345871,0,345871
64,0,6,39,23,0,1778157575174,1778157575250,6666,3922,0
65,0,0,42,0,42,1778157575679,1778157575761,28611,0,28611
66,0,0,35,17,0,1778157576180,1778157576251,40884,19856,0
67,0,0,31,0,31,1778157576682,1778157576745,51516,0,51516
68,0,5,15,6,0,1778157577176,1778157577232,32207,12881,0
69,0,0,45,0,45,1778157577683,1778157577755,120130,0,120130
70,0,0,1,1,0,1778157578180,1778157578245,3156,3156,0
71,0,0,39,0,39,1778157578684,1778157578743,142555,0,142555
72,0,15,0,0,0,1778157579178,1778157579239,0,0,0
73,0,0,45,0,45,1778157579681,1778157579734,208988,0,208988
74,0,0,3,1,0,1778157580183,1778157580245,15459,5153,0
75,0,0,51,0,51,1778157580685,1778157580741,288079,0,288079
76,0,2,0,0,0,1778157581180,1778157581228,0,0,0
77,0,0,43,0,43,1778157581686,1778157581740,285753,0,285753
78,0,22,20,17,0,1778157582183,1778157582240,142865,121437,0
79,0,0,38,0,38,1778157582683,1778157582737,290349,0,290349
80,0,11,31,15,0,1778157583184,1778157583267,4835,2360,0
81,0,0,31,0,31,1778157583685,1778157583758,20059,0,20059
82,0,8,39,26,0,1778157584190,1778157584248,44034,29347,0
83,0,0,31,0,31,1778157584688,1778157584757,50811,0,50811
84,0,15,42,36,0,1778157585188,1778157585239,88933,76227,0
85,0,0,33,0,33,1778157585691,1778157585758,87024,0,87024
86,0,18,28,23,0,1778157586191,1778157586260,87804,72124,0
87,0,0,25,0,25,1778157586690,1778157586774,91219,0,91219
88,0,19,38,34,0,1778157587190,1778157587257,156886,140371,0
89,0,0,40,0,40,1778157587689,1778157587748,184777,0,184777
90,0,12,27,13,0,1778157588190,1778157588271,138782,66817,0
91,0,0,44,0,44,1778157588695,1778157588790,248967,0,248967
92,0,27,13,12,0,1778157589189,1778157589265,79711,73578,0
93,0,0,49,0,49,1778157589694,1778157589780,325628,0,325628
94,0,22,9,8,0,1778157590191,1778157590285,64319,57171,0
95,0,0,36,0,36,1778157590692,1778157590763,274476,0,274476
96,0,22,0,0,0,1778157591191,1778157591263,0,0,0
97,0,19,36,16,14,1778157591694,1778157591756,21697,9633,8446
98,0,56,19,0,19,1778157592193,1778157592256,20989,0,20989
99,0,0,61,49,5,1778157592701,1778157592757,97536,78348,7998
100,0,38,0,0,0,1778157593192,1778157593251,0,0,0
101,0,0,58,36,20,1778157593701,1778157593767,151039,93748,52081
102,0,45,2,0,2,1778157594195,1778157594247,6166,0,6166
103,0,1,63,37,18,1778157594705,1778157594774,227222,133455,64920
104,0,27,1,0,1,1778157595195,1778157595245,4078,0,4078
105,0,7,43,14,16,1778157595701,1778157595752,196996,64152,73301
106,0,33,7,0,7,1778157596197,1778157596254,35584,0,35584
107,0,0,44,22,11,1778157596700,1778157596771,246255,123128,61572
108,0,34,22,0,22,1778157597203,1778157597277,134271,0,134271
109,0,0,52,29,18,1778157597701,1778157597763,341997,190681,118408
110,0,135,23,0,23,1778157598201,1778157598283,163336,0,163336
111,0,0,154,106,19,1778157598705,1778157598784,1168159,803994,144180
112,0,103,0,0,0,1778157599200,1778157599269,0,0,0
113,0,1,103,81,0,1778157599710,1778157599768,57044,44848,0
114,0,46,21,0,21,1778157600203,1778157600264,21990,0,21990
115,0,29,46,29,0,1778157600706,1778157600811,73188,46136,0
116,0,45,41,0,41,1778157601208,1778157601303,85372,0,85372
117,0,0,45,32,0,1778157601705,1778157601796,115654,82233,0
118,0,17,29,0,29,1778157602207,1778157602274,88395,0,88395
119,0,0,17,17,0,1778157602709,1778157602798,60611,60611,0
120,0,41,33,0,33,1778157603208,1778157603268,133209,0,133209
121,0,6,41,39,0,1778157603708,1778157603824,188141,178962,0
122,0,33,43,0,43,1778157604209,1778157604278,216827,0,216827
123,0,6,33,23,0,1778157604709,1778157604769,182495,127201,0
124,0,39,40,0,40,1778157605209,1778157605300,242452,0,242452
125,0,3,39,22,0,1778157605710,1778157605778,254710,143671,0
126,0,34,44,0,44,1778157606212,1778157606289,309908,0,309908
127,0,0,34,30,0,1778157606710,1778157606754,255050,225048,0
