TxHash (Byte -> Big Int),Tx propose timestamp,Block propose timestamp,Tx finally commit timestamp,Relay1 Tx commit timestamp (not a relay tx -> nil),Relay2 Tx commit timestamp (not a relay tx -> nil),Broker1 Tx commit timestamp (not a broker tx -> nil),Broker2 Tx commit timestamp (not a broker tx -> nil),Confirmed latency of this tx (ms)
35242734381538607801854152043163219451628109494361197920909657536346923688263,1778157542918,1778157548161,1778157548218,,,,,5299
57163083392188216327998252399534874559813661365171181011750572982019820502279,1778157575089,1778157579165,1778157579228,,,,,4138
56220067201672574545343379385673767310719345531362321975944226068499576634306,1778157542911,1778157546173,1778157546724,1778157546228,1778157546724,,,3812
113343702751570576976517477106829881302377968051447536783074028904829054105806,1778157567046,1778157572200,1778157572754,1778157572251,1778157572754,,,5707
42885869036107950686823431438337538993944122204433530325704250043624588181516,1778157591175,1778157596700,1778157597274,1778157596771,1778157597274,,,6098
114768054717058465723482124997687203270794002531636650058287794879595652147250,1778157542892,1778157543639,1778157544194,1778157543702,1778157544194,,,1301
36690668991877915593049352799072675913586748994565220712519569326736975023372,1778157550945,1778157552133,1778157552726,1778157552248,1778157552726,,,1780
70912956828595573327093153063642299563654003686839694699765553988145640438120,1778157583131,1778157588209,1778157588815,1778157588295,1778157588815,,,5683
21409703648291663472291195789365248185464124556187170932255726557547008694174,1778157591191,1778157598240,1778157598791,1778157598318,1778157598791,,,7599
82799387745663745498476467105598769143687315348225052582907965360956297241845,1778157542923,1778157549167,1778157549697,1778157549227,1778157549697,,,6773
107052078647816029866357333277953733222550578944023019671524167047572568504820,1778157550971,1778157558189,1778157558688,1778157558226,1778157558688,,,7716
64348736324843497890621702846471549112235168372385968634061227284494565972952,1778157558996,1778157560192,1778157560734,1778157560239,1778157560734,,,1738
52608349690559138016785477803075236801304391183245729971371674391644414826408,1778157567041,1778157571192,1778157571731,1778157571237,1778157571731,,,4689
82368626784847809194277572194425163440282105460901652258074089035680988532125,1778157591191,1778157597240,1778157597292,,,,,6101
83891583134686748155408344479308447680280324834772755315099342872772972629993,1778157607271,1778157607712,1778157608315,1778157607794,1778157608315,,,1044
59888425278522748973929823280911992958845772867091228900186412607968192811487,1778157615319,1778157618728,1778157618780,,,,,3461
38293734982913489217305730107573868139045993054629585534855155113956194688788,1778157615324,1778157620758,1778157620813,,,,,5489
3036440599610234004563843564952328951108011614470058670843991126251570610504,1778157607288,1778157612743,1778157613302,1778157612808,1778157613302,,,6014
93333528193477300048378182668667778207493393924065419107227434839204726574753,1778157615326,1778157620758,1778157621301,1778157620813,1778157621301,,,5974
45245229787289209282024024607636611195460449124344075827134946588096090225138,1778157615328,1778157620758,1778157621311,1778157620813,1778157621311,,,5982
40407761862891346339260399383819261576503095029540536853678505700185200509555,1778157615330,1778157621750,1778157622320,1778157621799,1778157622320,,,6990
27789143904628106102292480014628919961669869387029827204426736779120705489272,1778157542912,1778157546129,1778157546725,1778157546224,1778157546725,,,3813
105820929639716000083865172245391246321035323386640319919880139644095146266572,1778157567029,1778157567187,1778157567702,1778157567236,1778157567702,,,672
7048089958162282269416735732280328953617090216955915440596630663146534323581,1778157583109,1778157583169,1778157583786,1778157583254,1778157583786,,,677
68693351140529451180340657655953283559511453605289203812954243231789726822255,1778157591159,1778157592681,1778157593282,1778157592749,1778157593282,,,2122
