Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,105,93,66,0,1778170894258,1778170894313,206447,146500,0
2,0,36,174,34,132,1778170896261,1778170896308,733109,143035,556421
3,0,56,144,54,78,1778170898258,1778170898311,893922,335095,484369
4,0,58,154,55,84,1778170900261,1778170900337,994690,268054,691432
5,0,13,147,21,114,1778170902261,1778170902314,601212,45702,529368
6,0,54,115,28,73,1778170904267,1778170904336,482428,117280,306493
7,0,60,143,34,101,1778170906265,1778170906399,893714,212230,631545
8,0,32,135,29,87,1778170908270,1778170908351,849580,69146,713014
9,0,49,123,30,81,1778170910266,1778170910354,676196,65065,585103
10,0,40,149,21,109,1778170912266,1778170912328,617148,86817,451770
11,0,54,174,57,99,1778170914268,1778170914325,1066223,348912,607140
12,0,34,418,267,66,1778170916277,1778170916352,1878473,1049704,538108
13,0,183,224,130,34,1778170918270,1778170918349,713951,274605,312602
14,0,208,366,260,18,1778170920293,1778170920388,1517893,1078257,74696
15,0,67,407,303,11,1778170922279,1778170922355,2485657,1850455,67248
16,0,97,81,48,0,1778170924273,1778170924339,654905,388105,0
17,0,191,183,45,116,1778170926272,1778170926354,1310188,93252,1171341
18,0,153,319,178,83,1778170928277,1778170928368,1301059,725446,339240
19,0,228,315,207,39,1778170930275,1778170930354,1906071,1252240,236400
20,0,53,264,165,40,1778170932274,1778170932378,2129966,1331042,323004
21,0,95,100,36,53,1778170934276,1778170934362,627224,72614,532402
22,0,39,156,51,95,1778170936274,1778170936356,625349,204128,381217
23,0,101,143,38,94,1778170938275,1778170938380,861139,228597,566352
24,0,41,133,21,101,1778170940273,1778170940335,1059812,167193,805037
25,0,117,163,15,103,1778170942282,1778170942393,1151732,29950,1031986
26,0,63,271,77,182,1778170944284,1778170944349,1070609,303909,719333
27,0,100,113,27,63,1778170946277,1778170946365,673557,160864,375685
28,0,82,125,19,100,1778170948280,1778170948336,990806,150486,792794
29,0,90,151,30,109,1778170950283,1778170950403,1170824,58842,1088425
30,0,94,170,46,90,1778170952282,1778170952381,669163,180831,354677
31,0,82,198,72,94,1778170954284,1778170954396,1176705,427738,558858
32,0,84,142,34,82,1778170956280,1778170956343,1119998,268107,646867
33,0,54,303,146,93,1778170958287,1778170958373,1319875,276465,922114
34,0,2,445,303,54,1778170960295,1778170960385,1735591,1181362,211122
35,0,20,355,263,2,1778170962294,1778170962372,2086648,1545874,11770
36,0,77,244,149,20,1778170964288,1778170964375,1921271,1173216,157575
37,0,53,121,24,77,1778170966284,1778170966338,837076,43533,757282
38,0,80,139,41,86,1778170968289,1778170968355,531954,156639,329479
39,0,10,447,265,86,1778170970302,1778170970398,2618051,1551710,504209
40,0,6,383,273,10,1778170972311,1778170972364,2993301,2133517,78229
41,0,1,401,310,9,1778170974294,1778170974367,766015,554911,64291
42,0,10,374,283,1,1778170976295,1778170976419,1434796,1085703,3844
43,0,2,389,284,10,1778170978296,1778170978382,2253980,1645553,57995
44,0,5,390,284,6,1778170980301,1778170980378,3037008,2211564,46728
45,0,6,398,286,5,1778170982301,1778170982398,750927,510789,49032
46,0,3,387,281,6,1778170984297,1778170984366,1450818,1053407,22524
47,0,2,396,298,3,1778170986316,1778170986378,2279512,1715392,17286
48,0,9,369,281,2,1778170988300,1778170988378,2860784,2178545,15512
49,0,6,390,293,11,1778170990299,1778170990392,770112,512339,107430
50,0,7,386,290,6,1778170992304,1778170992355,1429300,1073783,22274
51,0,0,7,0,7,1778170994288,1778170994378,40060,0,40060
52,0,0,0,0,0,1778170996287,1778170996351,0,0,0
53,0,0,0,0,0,1778170998287,1778170998357,0,0,0
54,0,0,0,0,0,1778171000294,1778171000385,0,0,0
