TxHash (Byte -> Big Int),Tx propose timestamp,Block propose timestamp,Tx finally commit timestamp,Relay1 Tx commit timestamp (not a relay tx -> nil),Relay2 Tx commit timestamp (not a relay tx -> nil),Broker1 Tx commit timestamp (not a broker tx -> nil),Broker2 Tx commit timestamp (not a broker tx -> nil),Confirmed latency of this tx (ms)
88769663505762966914709678320616731685240698741997109997683067042610363504787,1778170932377,1778170940290,1778170942330,1778170940359,1778170942330,,,9953
32537899130154166034653351503110281704592908499434080310244292526033072249010,1778170964521,1778170966222,1778170966281,,,,,1760
54876654054489590954669476686017124236719668739438531360166041076531432264864,1778170972585,1778170976295,1778170976419,,,,,3834
56516436126070480924558494932587300894373501278629447498752181435086475595253,1778170972586,1778170978296,1778170980351,1778170978382,1778170980351,,,7765
67291722380930940362305653161296876956686776703704260277013787425878537418962,1778170892090,1778170894203,1778170894258,,,,,2167
104232930307041999085537867542088162735980451262866410269147310058887022687784,1778170900145,1778170904269,1778170906336,1778170904340,1778170906336,,,6190
21997529921569695892422817754450170455077704850822216935031119917976483950094,1778170924289,1778170928277,1778170930346,1778170928368,1778170930346,,,6056
39282384850331274945252714269264285529084349210978973018391204634820716077560,1778170964549,1778170972311,1778170974258,1778170972364,1778170974258,,,9709
68149754438702553575115493555109878964915018403759352867935302958658736378453,1778170980613,1778170984297,1778170986306,1778170984366,1778170986306,,,5692
83334334469912295812994320621717002653909158695301377069318700774055330459057,1778170892107,1778170900261,1778170902243,1778170900337,1778170902243,,,10135
50982703833328875720129152691765351934259544846919745287569905671361067970116,1778170900139,1778170902270,1778170902317,,,,,2178
31021165084339037211510751169149315926088223515961285667046307281780431765349,1778170908185,1778170910274,1778170912311,1778170910355,1778170912311,,,4125
569393547524763850848552828141487874256340969168921648422484130345023561620,1778170916238,1778170918272,1778170920249,1778170918354,1778170920249,,,4010
115533606242298426236187694702702781077930239365373105938158979416836353241041,1778170924281,1778170926209,1778170926303,,,,,2022
99106653708644036664292268728482133998727068628602048376190745747842303025176,1778170924304,1778170930275,1778170930354,,,,,6050
92059779222214846112729724566065881051903589634520199422576276590377514271348,1778170964539,1778170968288,1778170970323,1778170968362,1778170970323,,,5783
1660041331608581743898710244816838314720256240083002067289213586422034904537,1778170988650,1778170992304,1778170994381,1778170992355,1778170994381,,,5731
38555276899427812264525400972275821719736434018363257688181438125745233318261,1778170924313,1778170932208,1778170932328,,,,,8014
18943067473075139299892665038868736991365464262801683975666165549955651999489,1778170948452,1778170952282,1778170954355,1778170952381,1778170954355,,,5903
79024452690908675271166608675288999379541519212294760995366224207864539028801,1778170956494,1778170962294,1778170962372,,,,,5877
106190605866151304918625719646267006806459667845620968086770709138529570304275,1778170972579,1778170974294,1778170976341,1778170974367,1778170976341,,,3762
88811109753379723451763085359904245234534038604033534214682168392467109701508,1778170980613,1778170982301,1778170984314,1778170982398,1778170984314,,,3701
114042850988882276860981654626020873168171259002374348878849319995894838843573,1778170892108,1778170900269,1778170900340,,,,,8231
86728076841556513702897599810469527599402911220962233530602941728593210402146,1778170924279,1778170926273,1778170928368,1778170926351,1778170928368,,,4088
50692355775919496148037006238190708010791888436746016920970684148619456149133,1778170948457,1778170956280,1778170958326,1778170956343,1778170958326,,,9868
89432893352928844830821354508591743348382376015343731097907932991766972858073,1778170972576,1778170974294,1778170974367,,,,,1790
100917241839268778745585835548208763382429217549004345205656136150145494780516,1778170900152,1778170906202,1778170908332,1778170906285,1778170908332,,,8180
15764737147948842358896305296484505592134629893791470633697222357374453966117,1778170940415,1778170948261,1778170950399,1778170948314,1778170950399,,,9984
20331044405848849126188983533762438947028994025360214238325178243781024885819,1778170948459,1778170956224,1778170958326,1778170956305,1778170958326,,,9866
50710235059576381241679558103411721228288084222215984841531476558351336064478,1778170964531,1778170968218,1778170968304,,,,,3773
5782667018404613411690939140488714705583001257664623542089908682057443087223,1778170964536,1778170968264,1778170970393,1778170968343,1778170970393,,,5856
39521857386040770081300042745867715684294939368185537633410219599404669837759,1778170932355,1778170936216,1778170938380,1778170936317,1778170938380,,,6024
