Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,226,275,221,0,1778207340870,1778207341013,698897,561401,0
2,0,49,303,68,226,1778207342840,1778207342969,1166835,138511,1016309
3,0,28,213,92,91,1778207344819,1778207344971,542227,223195,246305
4,0,67,261,48,200,1778207346822,1778207346971,919859,30018,884985
5,0,175,263,114,123,1778207348823,1778207349223,782697,295498,419746
6,0,141,185,7,175,1778207350814,1778207350979,765050,2204,761906
7,0,193,194,40,149,1778207352823,1778207353077,579761,95527,472278
8,0,129,228,6,220,1778207354826,1778207354974,978905,25659,944693
9,0,214,132,47,42,1778207356820,1778207357000,468887,106579,264807
10,0,107,225,18,202,1778207358824,1778207359033,961850,76132,864546
11,0,89,310,134,132,1778207360848,1778207361011,1197447,282650,820758
12,0,129,209,33,160,1778207362858,1778207363017,856709,132825,659312
13,0,102,317,152,129,1778207364848,1778207365014,1149165,301383,776492
14,0,93,304,157,102,1778207366850,1778207366993,1201205,619470,404156
15,0,0,345,198,93,1778207368873,1778207369036,1053608,389900,557214
16,0,129,273,75,167,1778207370846,1778207371022,1077083,295195,659844
17,0,33,163,26,129,1778207372828,1778207372956,820190,48106,757264
18,0,122,286,37,231,1778207374860,1778207374981,1103990,141961,892909
19,0,106,271,104,122,1778207376859,1778207377001,986651,189397,715258
20,0,13,210,7,193,1778207378843,1778207378994,799851,26495,735524
21,0,21,176,7,163,1778207380837,1778207380983,963020,12065,940651
22,0,4,279,2,275,1778207382851,1778207382991,1041746,7387,1026963
23,0,10,172,4,165,1778207384849,1778207384978,950678,6600,939153
24,0,10,267,8,254,1778207386911,1778207387054,992783,29501,944869
25,0,33,205,41,147,1778207388857,1778207388970,913911,63657,823752
26,0,44,378,101,258,1778207390884,1778207391033,1368756,363622,936688
27,0,136,266,162,65,1778207392874,1778207393025,675770,251602,363677
28,0,97,245,86,136,1778207394867,1778207395050,873831,305857,486113
29,0,40,148,41,97,1778207396854,1778207396989,608231,60379,533156
30,0,99,334,70,246,1778207398893,1778207399022,1163972,242475,859160
31,0,199,250,122,99,1778207400879,1778207401048,763233,177266,543776
32,0,120,324,89,199,1778207402890,1778207403062,1121277,307165,689829
33,0,171,262,118,120,1778207404899,1778207405088,861214,169540,657203
34,0,53,482,242,171,1778207407253,1778207407335,1765330,883763,629515
35,0,74,178,94,53,1778207409003,1778207409119,462212,131169,287905
36,0,53,102,6,91,1778207410878,1778207411028,337159,19615,301229
37,0,167,239,5,230,1778207412967,1778207413087,1238902,6417,1227344
38,0,4,176,4,169,1778207414919,1778207415072,689186,12992,666444
39,0,157,252,6,244,1778207416932,1778207417067,1292502,11213,1278892
40,0,27,184,21,155,1778207418868,1778207419031,685807,65681,595084
41,0,153,261,2,257,1778207420896,1778207421050,1329664,2240,1325172
42,0,6,157,5,150,1778207422877,1778207423016,613324,15356,591824
43,0,163,235,7,228,1778207424890,1778207425051,1180228,15523,1164705
44,0,96,259,64,162,1778207426896,1778207427132,916895,199194,614975
45,0,131,350,70,266,1778207428895,1778207429038,1469494,117631,1337970
46,0,135,248,96,131,1778207430879,1778207431025,835918,283449,490474
47,0,129,261,47,203,1778207432886,1778207432997,1071206,54022,999322
48,0,118,206,49,129,1778207434868,1778207435020,681905,141285,460130
49,0,65,313,33,271,1778207436959,1778207437172,1429466,52734,1363833
50,0,74,241,71,140,1778207438874,1778207438987,781176,196861,501105
51,0,33,258,27,217,1778207440876,1778207440982,1092320,43767,1034338
52,0,18,140,21,114,1778207442878,1778207443036,441374,58081,369452
53,0,149,246,7,237,1778207444892,1778207445090,1152548,9435,1141575
54,0,90,245,79,149,1778207446885,1778207447007,742825,211038,486243
55,0,130,205,14,184,1778207448906,1778207449005,911969,36887,858647
56,0,211,192,56,130,1778207450885,1778207450993,587247,144619,427148
57,0,122,294,67,211,1778207452922,1778207453032,1092778,95677,975609
58,0,85,234,85,122,1778207454906,1778207455062,692499,219167,403788
59,0,75,392,156,197,1778207456909,1778207457021,1046957,124944,894846
60,0,218,210,107,75,1778207458892,1778207459080,598027,271077,256121
61,0,16,268,34,218,1778207460964,1778207461151,1054465,43324,1002077
62,0,22,143,14,121,1778207463095,1778207463174,433660,35934,377189
63,0,87,325,54,263,1778207465187,1778207465301,1350133,108557,1236199
64,0,0,87,0,87,1778207466891,1778207466966,223361,0,223361
65,0,0,0,0,0,1778207468852,1778207468917,0,0,0
66,0,0,0,0,0,1778207470852,1778207470923,0,0,0
67,0,0,0,0,0,1778207472853,1778207472922,0,0,0
