TxHash (Byte -> Big Int),Tx propose timestamp,Block propose timestamp,Tx finally commit timestamp,Relay1 Tx commit timestamp (not a relay tx -> nil),Relay2 Tx commit timestamp (not a relay tx -> nil),Broker1 Tx commit timestamp (not a broker tx -> nil),Broker2 Tx commit timestamp (not a broker tx -> nil),Confirmed latency of this tx (ms)
111708119914814641676308190904221074152326845956205154916066120968613434203592,1778207350682,1778207352776,1778207353067,,,,,2384
60358473413382608031273230429214708821402391323514984166712045865948310466249,1778207415872,1778207416932,1778207418907,1778207417067,1778207418907,,,3034
33540995700026016187411286918108439064639310909593042389323349774619676036134,1778207415907,1778207418868,1778207420906,1778207419031,1778207420906,,,4998
32465995553924241072753496809897609198538293898333481645362719791801339169872,1778207436195,1778207438763,1778207441009,1778207438855,1778207441009,,,4814
34119877357910809611391818733980230938780121373732297597982808166518740337638,1778207460592,1778207463212,1778207464962,1778207463313,1778207464962,,,4370
22711237406839364422920895819606351749064921405518578079445108371119928984834,1778207338488,1778207340743,1778207342915,1778207340920,1778207342915,,,4426
107366874447494391972144017602600542359564197068613280861982037447081780736750,1778207342531,1778207342757,1778207345032,1778207342900,1778207345032,,,2500
34166981653757311988438989813844837339115311791962574984035429037268114097690,1778207371135,1778207374773,1778207376985,1778207374889,1778207376985,,,5849
42621680113299623283616109500964566159212379419680701903875678500565259124802,1778207403696,1778207407001,1778207409183,1778207407087,1778207409183,,,5486
68843594222414825034584479314194465697171994721533875836647993117678596281099,1778207415905,1778207418868,1778207421013,1778207419031,1778207421013,,,5107
5215698392402319247091472052307290209786165560459583835728518287188498787720,1778207440276,1778207442823,1778207443068,,,,,2791
22394925251971588699181659848801122629811251640147378329374752685683333437539,1778207464634,1778207465187,1778207466848,1778207465301,1778207466848,,,2214
46065502992488299355240571782961857631017813430220363511411731771433922167950,1778207379275,1778207382786,1778207384899,1778207383015,1778207384899,,,5623
74130087347990058568007756441555115955778605443310439742951229038843641941278,1778207387429,1778207390758,1778207390898,,,,,3469
22162174348656036339264752130866194182141397558965614034859836829370615003128,1778207395543,1778207396840,1778207399022,1778207396995,1778207399022,,,3479
34615237529306962036642146158681652577780728981656461594310953806091284948574,1778207407713,1778207408819,1778207411028,1778207408917,1778207411028,,,3315
63419516630103121747622910037585263005980631601323720116313772771789132916825,1778207407708,1778207409003,1778207410955,1778207409119,1778207410955,,,3246
34323604140713312854981891908077882566905658182632026704501027486492384691352,1778207358937,1778207360834,1778207362945,1778207361026,1778207362945,,,4008
35792586079632197137107808199301017752360989467073180494169858062253528041094,1778207399583,1778207400848,1778207403062,1778207401040,1778207403062,,,3478
3231950700327455407766732027156945419352303375021575002971770611306799369695,1778207399609,1778207402830,1778207405056,1778207403049,1778207405056,,,5446
20673483053284806744901552219486538877211645094193999579123245374542038191284,1778207403670,1778207404780,1778207407087,1778207405056,1778207407087,,,3416
73763570597075658887838487491996594786619909000128670561425975702884843837324,1778207428077,1778207430789,1778207430954,,,,,2877
36685441798068178932912962618659318045456847101501120375071294029851816795111,1778207440257,1778207440769,1778207443050,1778207440880,1778207443050,,,2792
12400902019559544395055879659869867733027884936454162339457529710369797366908,1778207444318,1778207444773,1778207444883,,,,,564
52670348787801822731779886140176431284711460748803554945735432099267557186198,1778207448390,1778207448817,1778207450886,1778207448965,1778207450886,,,2496
28419557491684129718217807728153308534645359273967933568932675519236100695588,1778207350660,1778207350776,1778207352874,1778207350982,1778207352874,,,2213
103722395785709825175294741034598215550799110550592549113496110455938285667040,1778207354721,1778207356722,1778207359033,1778207356866,1778207359033,,,4311
24515060452828881300339682551745802935226637157369897187252920208567448304665,1778207391487,1778207394840,1778207396844,1778207395044,1778207396844,,,5357
102710020293619801860217171115588984408227383706737740677029778691442633238205,1778207395543,1778207396840,1778207396995,,,,,1451
25169224404917606374601850748859867625348240656103826251620346480601780815028,1778207423988,1778207424820,1778207427128,1778207424997,1778207427128,,,3139
87353449210297308356588290283570246495437117093272322810624442319115781481218,1778207423992,1778207426817,1778207429038,1778207427146,1778207429038,,,5045
109352754127473607383328094432918184671426436577200942622615547439561828661458,1778207432163,1778207436863,1778207437191,,,,,5027
16604313331497788755593461146821252340290210137366216477172312115941770300113,1778207444336,1778207446798,1778207449005,1778207446954,1778207449005,,,4669
9648541415795896192583706015495894516849554233103139517814964443458727445096,1778207342522,1778207342757,1778207345040,1778207342900,1778207345040,,,2517
50639331477520649672440134682140099535324167356719329102644885783479369211301,1778207424027,1778207428778,1778207430945,1778207428952,1778207430945,,,6918
50604715899928856318514817974465664629556148477305688052161973820562304941164,1778207428071,1778207430789,1778207430954,,,,,2883
22727989879174803066082786735889744730381496190606242068681719514935650626188,1778207448392,1778207448817,1778207448965,,,,,572
109162633486431610918928639372238869978058786486380227552207426695117839067405,1778207399605,1778207400784,1778207400959,,,,,1354
66868592841527987569863434965829133860287688315325512545784018933810233139773,1778207346643,1778207348753,1778207350979,1778207349157,1778207350979,,,4336
89564765875216699514061175341789031815839443509909780730560441961533863250193,1778207379295,1778207382786,1778207384899,1778207383015,1778207384899,,,5604
113265495278819655905639951856098392047786379653960967816489571865310530011157,1778207419947,1778207422856,1778207424920,1778207423059,1778207424920,,,4973
53421499055325051325564969179221541443349146277855764522824515590750743563899,1778207432120,1778207434780,1778207437110,1778207434920,1778207437110,,,4990
44779469097142760948036275577542641485548704243158333667495537461448459799005,1778207440254,1778207440866,1778207443036,1778207441009,1778207443036,,,2781
38648705272585184294749446118968650990377496856664568428526986639894140730941,1778207440271,1778207442754,1778207445071,1778207442869,1778207445071,,,4800
83607261513680562511484748409309797485872526375401109913057354963109625966721,1778207444316,1778207444827,1778207445071,,,,,754
83929999060266109085776048159929040546897356344006118724726479655785094292937,1778207452459,1778207454776,1778207455042,,,,,2582
50207994773954041546741475135679464626003249465788758335784659428273673427439,1778207411820,1778207414870,1778207417067,1778207415080,1778207417067,,,5247
55915934117427738603642498244634238374927870365421926437273393665675342688688,1778207415898,1778207418863,1778207419098,,,,,3200
68663560069648528166608646252545470523295252875977542037295403861171684916891,1778207428071,1778207430847,1778207432943,1778207431039,1778207432943,,,4871
35154054136069698842743036176193244052884252678122306508410777716598267588581,1778207354756,1778207356722,1778207356866,,,,,2109
68510131823256691843413360281880551207276018210273400118210451874320849296625,1778207354723,1778207356722,1778207359057,1778207356866,1778207359057,,,4334
98353460949236081849247624035704088337910856747444273418674515761699758624843,1778207424019,1778207426790,1778207428995,1778207426925,1778207428995,,,4975
66487839386337785097649534669811689362555362575394451687782081802427603250014,1778207440269,1778207442754,1778207445090,1778207442869,1778207445090,,,4820
79865105827872564137620605966671721023056999860020539151794470988212916640351,1778207444328,1778207446778,1778207446886,,,,,2558
83143779501282709922796238609497023983608618751236700447742314099409253902537,1778207448424,1778207452799,1778207455062,1778207452945,1778207455062,,,6638
108457133854198065749222041712238047926242762731440485009567404817892290274482,1778207367069,1778207368873,1778207371023,1778207369036,1778207371023,,,3953
82226735119866964580020362365198643629702522539054922683097447507683531108482,1778207387405,1778207388819,1778207391040,1778207388982,1778207391040,,,3634
10624053018491683007543285550586180993509317775253044255088280734039840084052,1778207403655,1778207404795,1778207405015,,,,,1359
114794267768935603680169600265373542685809732018630315527120430722433044752804,1778207424011,1778207426817,1778207428952,1778207427146,1778207428952,,,4941
107577613323872465344858269708109543340380089452099543459651413803294792454193,1778207448407,1778207450864,1778207453032,1778207450983,1778207453032,,,4625
79386783170721206168112573780446891626633032126717379896564101502060876429609,1778207358846,1778207360743,1778207360948,,,,,2101
92692476714026368106895672797117093501168031217392610041329042659901359564756,1778207358990,1778207362831,1778207365014,1778207363008,1778207365014,,,6023
571839886168821540997642931197672986951747615690897307671083430033314136804,1778207407769,1778207412858,1778207415086,1778207413047,1778207415086,,,7317
30083870547293949094634040903369147794327903955216016807492298343324390178650,1778207415894,1778207418798,1778207421040,1778207418907,1778207421040,,,5146
75806698232591596225765148868523118922780605314464187201312839890566982715600,1778207338510,1778207342746,1778207342915,,,,,4404
