Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,37,94,81,0,1778165928920,1778165928987,211887,182564,0
2,0,8,287,145,95,1778165930927,1778165930977,1216533,614102,403386
3,0,18,131,84,31,1778165932921,1778165933007,820375,525976,194205
4,0,24,117,49,51,1778165934918,1778165934995,596251,147596,420682
5,0,8,257,163,51,1778165936929,1778165937033,790611,369099,324155
6,0,22,196,125,39,1778165938921,1778165938994,827335,527547,164734
7,0,19,175,82,64,1778165940923,1778165941073,1101927,516204,403170
8,0,16,214,130,56,1778165942928,1778165942997,1341583,731418,460270
9,0,0,271,169,54,1778165944929,1778165945029,771897,376155,288900
10,0,17,238,152,34,1778165946926,1778165947023,1003045,640418,143521
11,0,19,139,77,43,1778165948928,1778165949019,862109,477427,266894
12,0,0,75,24,46,1778165950924,1778165951012,558351,148491,376921
13,0,89,110,18,90,1778165952928,1778165953007,559068,38905,515841
14,0,0,102,9,90,1778165954932,1778165955039,427815,37719,377523
15,0,2,187,54,115,1778165956934,1778165957008,1151063,332137,708216
16,0,15,191,97,62,1778165958933,1778165959008,1267977,589965,505460
17,0,15,91,31,50,1778165960930,1778165961037,380511,66631,292401
18,0,67,195,99,64,1778165962937,1778165963032,807587,409647,265523
19,0,71,111,33,67,1778165964936,1778165965016,679446,201846,410318
20,0,130,173,73,77,1778165966940,1778165967055,1410288,594768,628134
21,0,124,185,89,69,1778165968936,1778165969021,940732,186118,698110
22,0,103,237,139,58,1778165970938,1778165971024,964930,565031,237410
23,0,164,154,94,29,1778165972942,1778165973026,932413,568839,175991
24,0,42,289,176,58,1778165974940,1778165975041,2327251,1416774,467768
25,0,27,180,113,42,1778165976953,1778165977040,701644,228823,422123
26,0,19,99,69,27,1778165978933,1778165978995,393452,274066,107473
27,0,16,182,115,40,1778165980937,1778165981014,1088403,687424,239602
28,0,46,141,73,48,1778165982937,1778165983032,1126812,583154,383891
29,0,41,143,59,69,1778165984940,1778165985025,833413,115550,688489
30,0,39,199,92,72,1778165986939,1778165987009,784065,362257,283992
31,0,0,108,33,72,1778165988937,1778165989023,642536,196168,428534
32,0,22,134,22,107,1778165990939,1778165991046,1067470,175137,852539
33,0,3,98,14,76,1778165992940,1778165993031,798198,27004,755767
34,0,0,82,1,80,1778165994940,1778165995064,324768,3952,316864
35,0,1,129,12,117,1778165996943,1778165997070,768666,71416,697250
36,0,43,142,35,99,1778165998946,1778165999039,1124539,277000,784225
37,0,16,213,99,65,1778166000944,1778166001065,930572,190224,646209
38,0,17,80,27,48,1778166002942,1778166003019,309507,104313,185870
39,0,0,107,1,104,1778166004954,1778166005064,632208,5905,614493
40,0,87,86,7,79,1778166006945,1778166007053,678583,55212,623371
41,0,99,89,1,88,1778166008941,1778166009006,867587,1821,865766
42,0,82,104,5,99,1778166010947,1778166011079,404981,19440,385541
43,0,1,90,5,85,1778166012947,1778166013055,527566,29270,498296
44,0,96,100,4,96,1778166014954,1778166015092,788823,31530,757293
45,0,0,99,3,96,1778166016950,1778166017037,948913,5436,943477
46,0,0,92,8,84,1778166018947,1778166019017,348885,30286,318599
47,0,0,108,2,106,1778166020954,1778166021054,628722,11613,617109
48,0,90,115,4,110,1778166022949,1778166023044,897243,31156,858296
49,0,1,102,10,92,1778166024957,1778166025050,919102,17815,901287
50,0,100,101,4,97,1778166026952,1778166027066,383494,15174,368320
51,0,14,228,104,101,1778166028969,1778166029092,1326104,604643,587754
52,0,15,110,65,39,1778166030954,1778166031074,857124,506328,304053
53,0,0,116,64,47,1778166032955,1778166033066,581010,112452,459774
54,0,25,114,50,52,1778166034956,1778166035032,424025,185769,193670
55,0,10,127,49,73,1778166036962,1778166037048,727241,280356,418275
56,0,19,171,96,42,1778166038958,1778166039055,1320663,741204,324642
57,0,10,75,26,47,1778166040954,1778166041032,502771,43680,455733
58,0,0,81,3,78,1778166042956,1778166043032,297832,11016,286816
59,0,1,135,8,127,1778166044968,1778166045064,769717,45542,724175
60,0,6,154,62,89,1778166046967,1778166047056,1183147,476047,684061
61,0,74,107,43,58,1778166049060,1778166049115,648894,73838,564756
62,0,59,212,104,74,1778166051088,1778166051135,790578,387429,276488
63,0,77,105,37,59,1778166053021,1778166053101,596960,210007,335863
64,0,35,111,25,77,1778166055015,1778166055111,852962,191904,591961
65,0,34,195,80,81,1778166057008,1778166057068,964029,128901,780321
66,0,8,143,53,69,1778166058999,1778166059066,516106,191119,249262
67,0,82,86,19,66,1778166061008,1778166061123,486858,107513,373686
68,0,67,107,19,82,1778166063025,1778166063098,816627,144944,625914
69,0,63,208,93,77,1778166065020,1778166065087,950717,149135,740644
70,0,21,109,36,63,1778166066992,1778166067076,391516,129207,226422
71,0,0,75,2,73,1778166068974,1778166069081,419522,11168,408354
72,0,83,89,2,87,1778166070990,1778166071071,674456,15142,659314
73,0,101,96,3,93,1778166072995,1778166073095,897214,4731,892483
74,0,102,108,6,101,1778166074997,1778166075072,384034,21300,359184
75,0,97,114,11,103,1778166076984,1778166077080,633294,61076,572218
76,0,98,109,6,102,1778166078993,1778166079084,823481,45305,770626
77,0,0,105,5,100,1778166080972,1778166081052,959393,7514,951879
78,0,103,102,7,95,1778166082983,1778166083102,362455,24848,337607
79,0,95,107,4,103,1778166084986,1778166085068,590013,22033,567980
80,0,6,127,29,95,1778166086983,1778166087076,954561,217860,714165
81,0,0,76,3,73,1778166088966,1778166089050,696854,4367,692487
82,0,111,101,2,99,1778166090989,1778166091062,350402,6903,343499
83,0,0,112,1,111,1778166092991,1778166093102,615043,5472,609571
84,0,109,100,0,100,1778166094985,1778166095054,743137,0,743137
85,0,0,116,6,110,1778166096985,1778166097083,1047472,8510,1038962
86,0,99,88,6,82,1778166098974,1778166099062,299130,20334,278796
87,0,65,136,28,102,1778166100986,1778166101068,733216,150748,550164
88,0,21,115,40,72,1778166102972,1778166103066,849000,295143,531730
89,0,82,119,43,63,1778166104977,1778166105065,667043,58599,590735
90,0,16,215,99,82,1778166106987,1778166107074,724531,333473,276530
91,0,12,108,39,55,1778166108977,1778166109088,580900,209698,295934
92,0,29,364,209,94,1778166111004,1778166111092,2685389,1541618,693837
93,0,22,280,191,29,1778166112993,1778166113103,614497,260383,272244
94,0,35,284,189,38,1778166114989,1778166115124,958442,637553,128597
95,0,5,245,172,35,1778166116983,1778166117076,1303243,914723,186417
96,0,13,266,175,31,1778166118994,1778166119082,1946648,1280554,227045
97,0,11,223,145,25,1778166120991,1778166121088,491855,189486,233078
98,0,9,242,150,33,1778166122987,1778166123057,791802,490678,108110
99,0,28,259,174,35,1778166124986,1778166125106,1377083,925054,186198
100,0,43,263,171,33,1778166126990,1778166127075,1915312,1245234,240425
101,0,5,311,203,43,1778166128987,1778166129061,733153,253450,398531
102,0,1,154,97,19,1778166130993,1778166131076,501694,315923,61998
103,0,68,133,59,61,1778166132983,1778166133077,698935,309969,320668
104,0,116,92,11,78,1778166134994,1778166135064,665935,79584,564647
105,0,0,123,0,121,1778166136987,1778166137059,1119347,0,1116925
106,0,10,237,106,99,1778166138998,1778166139114,772229,344797,323384
107,0,0,184,113,35,1778166140994,1778166141058,954511,585979,181860
108,0,0,286,174,61,1778166143001,1778166143092,2063521,1255170,440467
109,0,6,102,44,49,1778166145051,1778166145120,517776,53894,452842
110,0,87,110,16,90,1778166147105,1778166147168,358769,51992,293783
111,0,59,268,134,87,1778166149114,1778166149194,1412258,705723,459009
112,0,35,259,148,59,1778166151064,1778166151138,1866227,1066127,425500
113,0,5,182,120,35,1778166153031,1778166153094,488427,137052,320547
114,0,24,148,79,42,1778166155034,1778166155113,467458,249397,132822
115,0,53,253,132,73,1778166157058,1778166157148,1312820,684732,379100
116,0,14,221,136,53,1778166159028,1778166159105,1578169,970918,378793
117,0,63,110,51,38,1778166161006,1778166161077,425401,56082,346232
118,0,89,129,73,40,1778166163006,1778166163077,439617,226054,164006
119,0,96,257,141,70,1778166165041,1778166165112,1317941,722966,359110
120,0,122,178,108,44,1778166167004,1778166167155,1275952,774123,315469
121,0,43,171,91,45,1778166169018,1778166169115,1448082,758145,410658
122,0,13,87,22,52,1778166171005,1778166171171,307764,69702,196876
123,0,112,104,12,89,1778166173057,1778166173157,535988,61806,458729
124,0,150,115,3,112,1778166175047,1778166175141,820448,21396,799052
125,0,44,218,103,95,1778166177016,1778166177079,1431990,485163,861651
126,0,23,69,20,41,1778166179013,1778166179125,309834,61861,223230
127,0,0,51,0,51,1778166180999,1778166181145,260769,0,260769
128,0,0,0,0,0,1778166182986,1778166183102,0,0,0
129,0,0,0,0,0,1778166184985,1778166185076,0,0,0
130,0,0,0,0,0,1778166186986,1778166187065,0,0,0
