TxHash (Byte -> Big Int),Tx propose timestamp,Block propose timestamp,Tx finally commit timestamp,Relay1 Tx commit timestamp (not a relay tx -> nil),Relay2 Tx commit timestamp (not a relay tx -> nil),Broker1 Tx commit timestamp (not a broker tx -> nil),Broker2 Tx commit timestamp (not a broker tx -> nil),Confirmed latency of this tx (ms)
8127742029969709046736905128452335269035147514468337105233580493657939066698,1778166119783,1778166120991,1778166123047,1778166121088,1778166123047,,,3263
43443608208321904884343924178452390502470112225993589860087473981962036287627,1778166168006,1778166173030,1778166173139,,,,,5133
95081651009216645735699056668053439580420655600356855131097997529341351833499,1778165942804,1778165944929,1778165947024,1778165945029,1778165947024,,,4219
44662693195516248306208215188118478058963898675739693575700316652316834284128,1778165966983,1778165974909,1778165977038,1778165975034,1778165977038,,,10054
97091216163877281073292620348944661305457782765320463623795015788481137413205,1778165999167,1778166006932,1778166007052,,,,,7884
9022858805109817438714381861846641628056995133582409156574651956592310372629,1778166039380,1778166047219,1778166049088,1778166047290,1778166049088,,,9707
113933191085244945236725785173626655071186859602480351054696334833404617847346,1778166151959,1778166157034,1778166159105,1778166157108,1778166159105,,,7146
47668060663303425931365441775893365544114417915380529444085290652664380309745,1778165950859,1778165958959,1778165959026,,,,,8167
9521592435318067713302839378285628447481592415676779198803236619283830201174,1778166103708,1778166109007,1778166111092,1778166109097,1778166111092,,,7384
47034237356837202928972705620344355844097250899075279501246905717288455876839,1778166127826,1778166134969,1778166137059,1778166135060,1778166137059,,,9232
26280613925850403376548087588239331207328961123697918725544917044647084203299,1778165950849,1778165954913,1778165957024,1778165955047,1778165957024,,,6174
7262867562097259171190557326594889427643178802530342227881793527128059332676,1778165975036,1778165980924,1778165983050,1778165980997,1778165983050,,,8013
63834634565929931396967156186568669955450087193170549214227949324397370254867,1778166031311,1778166032977,1778166035025,1778166033088,1778166035025,,,3714
97035589872815038223037789863228270024760603853878000112714020115954131079495,1778166031325,1778166036976,1778166037052,,,,,5726
38536727219029001388062158404180511693719563205144420480011566577710594087871,1778166039353,1778166041063,1778166041127,,,,,1773
67008189666713134632662501040658536677497372565534037251416730291617296675018,1778166095664,1778166096971,1778166099062,1778166097093,1778166099062,,,3397
4724949438932710996497193271463257570275913794661566734627419183009137457326,1778166176024,1778166177050,1778166177116,,,,,1092
107245468925284522689833159759014421551690447016556811443573106129163545295464,1778165950842,1778165952909,1778165955039,1778165953007,1778165955039,,,4197
45131276148606357833586652699176982309506390716314438560311517780038120490504,1778165991113,1778165994932,1778165997070,1778165995062,1778165997070,,,5957
38042832461556242730303932695789962751277754917387797379930679723126413890533,1778165991122,1778165998926,1778166001065,1778165999040,1778166001065,,,9942
67567955540066179184943240864071013391536806518562989220424515499304124805483,1778166023273,1778166026940,1778166029092,1778166027065,1778166029092,,,5819
4935552609096227611086041400441692083485611667742981667660626426207684020991,1778166047428,1778166053005,1778166053092,,,,,5663
98280071686996335040635821531816504248414337652064635680583126796758861721501,1778166055464,1778166061002,1778166061105,,,,,5641
105652549184217004353221428476739668087137884160582159392502867649295024454330,1778166079552,1778166082952,1778166085068,1778166083057,1778166085068,,,5516
104707759403562383638062190468681196830172908486560403035283243488725684818619,1778166095665,1778166096971,1778166099063,1778166097093,1778166099063,,,3398
31707180556508699847504007737983144880769396139312721352684053192965786262007,1778165958893,1778165962916,1778165965016,1778165963026,1778165965016,,,6122
65299693879941725996215096474316715419861555225006746344007091992570434225897,1778165975041,1778165980957,1778165983032,1778165981024,1778165983032,,,7990
78641276884767307919579760054072664170099058060175320571649200668038962110305,1778166111753,1778166114989,1778166115124,,,,,3371
85709310974119510922634245570818912673029282494617625167226404769562652345074,1778166127822,1778166130993,1778166133075,1778166131076,1778166133075,,,5252
26657393453002843518513501993614576808470912291189125945262607037144798462102,1778166135853,1778166136977,1778166139291,1778166137073,1778166139291,,,3438
22674430659013199036784680675567731699588614182612571941565883123149459686289,1778166135854,1778166139108,1778166141058,1778166139197,1778166141058,,,5204
13131481083663639227993781882653573530651216608128816684628502993878858560550,1778165958878,1778165958919,1778165961037,1778165958998,1778165961037,,,2159
68480296177512428777737946718086938008060494991799148195206153962210203073606,1778165999158,1778166002969,1778166003036,,,,,3878
91437644280776657815178112367450014301492540230131102888644360916388977546496,1778166007188,1778166008926,1778166011084,1778166008986,1778166011084,,,3896
101457865229451956791813088960036384942491436066603744002920744081080455907026,1778166071529,1778166076948,1778166079084,1778166077036,1778166079084,,,7555
47108571067211769247144274201455415947034907193681795513670208605003470571001,1778166079558,1778166084957,1778166087070,1778166085063,1778166087070,,,7512
82517031853924828447303867767511858515667861380061717002656550012069716595289,1778166079562,1778166086957,1778166089050,1778166087088,1778166089050,,,9488
25371379093055772475119956646507748528964643264895205688551069221300431286673,1778166159989,1778166167051,1778166169093,1778166167161,1778166169093,,,9104
43816372816486841575547029401011323769410790498080834182623565692336743470646,1778165975039,1778165980937,1778165983050,1778165981014,1778165983050,,,8010
98073172072206926570539919481046797450581656612891318558968703057884492986399,1778166023281,1778166028945,1778166031068,1778166029082,1778166031068,,,7786
53686366491260010279264358874599739565821737572191870762864391792295379220903,1778166047419,1778166052958,1778166055119,1778166053045,1778166055119,,,7699
13656621900016235370650894350839483952937047018941282806676114677755666418244,1778166103707,1778166106971,1778166109097,1778166107054,1778166109097,,,5389
28235929826166603750265940752580261797062624210345804590184767615267769346461,1778166135869,1778166141101,1778166143211,1778166141167,1778166143211,,,7341
41357621718872934098868405115275607977438783933601351281504879344767722352543,1778166015223,1778166016930,1778166019017,1778166017040,1778166019017,,,3794
37103527475355652774328131869626370686975942332678050487319880125451460576661,1778166063498,1778166070961,1778166071039,,,,,7540
76043106444740629458550752923258456597303294714747775122048496737942114518400,1778166079554,1778166082952,1778166085067,1778166083057,1778166085067,,,5513
16164094792409751094752529307779760482717760472157324914979705591253178007241,1778166095676,1778166098954,1778166099053,,,,,3377
50831432894732362524623171228953244162239903682789021152619061788067945411011,1778166103715,1778166111004,1778166113100,1778166111092,1778166113100,,,9385
104999833360429483021809440832514498482254526403565958640683785198663964145833,1778166151960,1778166157034,1778166159105,1778166157108,1778166159105,,,7145
26746720127185756751630643760199922310399249273135045338812290331113161234585,1778165926740,1778165930927,1778165933050,1778165930977,1778165933050,,,6309
75098621640308511073541100098878582014742133090399941075003017650043690319192,1778165958884,1778165960953,1778165963032,1778165961043,1778165963032,,,4147
38363793508410290494898610387387375835178824442407606527869127004983297480135,1778166015237,1778166020943,1778166023044,1778166021077,1778166023044,,,7807
73305459335334304800396135731508325553943321809106836315427188732470278878600,1778166023285,1778166030984,1778166033073,1778166031075,1778166033073,,,9787
111255715260848557899485855464071517894156156066289002523507647391930566436042,1778166079550,1778166080959,1778166083101,1778166081068,1778166083101,,,3551
97627098067078283209796393188880462490647510619760497176603923613767637194286,1778166087586,1778166088978,1778166089060,,,,,1473
37784491766893726522290752436269327947024476869941806625434241816954467551051,1778166111734,1778166112959,1778166113107,,,,,1373
11392750851173658735319473621476023161089725016920545574646610918858727437943,1778166119793,1778166127010,1778166127073,,,,,7280
76870114229579979740116059519896512428931219829235040437711650899825971940381,1778165926740,1778165930927,1778165933050,1778165930977,1778165933050,,,6310
15418089463003735528022685318755986998502247364022936326138093170576298088036,1778165926750,1778165934944,1778165935007,,,,,8257
14273188080193732954987887866607923747636135083696620060136687388582197045292,1778165934766,1778165936929,1778165939009,1778165937033,1778165939009,,,4243
95147968819563750163833299983075467286478102638764524078737211933090280129968,1778165999162,1778166004958,1778166005083,,,,,5921
27986990264572411496486728888351358840170323280499780081524070201402989922966,1778166015249,1778166022930,1778166025050,1778166023018,1778166025050,,,9801
79254639423133150684742573709371355882755021361228261912193802666277096914481,1778166055461,1778166059002,1778166061071,1778166059077,1778166061071,,,5609
43721562747063014700426670129398792442606931234004087043166464607218150481671,1778166063483,1778166064972,1778166067052,1778166065057,1778166067052,,,3569
17480855172368047351518027250815549703781769004693017764352837581544899658685,1778166143920,1778166147032,1778166149133,1778166147100,1778166149133,,,5212
10557319093885222815200052879173102725043403936997408181156883395355483973015,1778165942822,1778165950909,1778165953007,1778165951023,1778165953007,,,10184
58539277796204008197458461720092573122912172588653138048641659519662225761541,1778165950849,1778165954913,1778165957024,1778165955047,1778165957024,,,6174
72498295428921333211130192671991920488592541862700907038707532364490408668095,1778165966934,1778165968936,1778165969021,,,,,2086
47942094591842544140983553152926463072776558800519117731699262557173581376446,1778165999152,1778166002969,1778166005063,1778166003036,1778166005063,,,5911
109201631218723375062003329720037528733644418588671039691494609536726089447552,1778166007210,1778166014932,1778166015088,,,,,7878
110353622653348521177730259570545329425145714983922925779931141481601230338131,1778166015234,1778166018928,1778166021054,1778166019040,1778166021054,,,5819
106842105243670508656771308683502108930825874871424141908101414287335103690318,1778166039377,1778166046951,1778166047051,,,,,7674
97329409956133723633464586506241265437473940042032844586762883688947291659677,1778166055452,1778166056996,1778166059028,1778166057071,1778166059028,,,3575
33856668732541235527117773419153963978755525793563913353860455863473994734842,1778165975021,1778165978914,1778165981024,1778165978987,1778165981024,,,6003
93740562321386353215843951658387702074451622463075740422971752582849059373774,1778165999165,1778166006932,1778166009019,1778166007052,1778166009019,,,9854
