Block Height,EpochID of this block,TxPool Size,# of all Txs in this block,# of Relay1 Txs in this block,# of Relay2 Txs in this block,TimeStamp - Propose (unixMill),TimeStamp - Commit (unixMill),"SUM of confirm latency (ms, All Txs)","SUM of confirm latency (ms, Relay1 Txs) (Duration: Relay1 proposed -> Relay1 Commit)","SUM of confirm latency (ms, Relay2 Txs) (Duration: Relay1 proposed -> Relay2 Commit)"
1,0,311,1000,674,0,1778772123498,1778772123568,2228193,1459006,0
2,0,417,1000,256,636,1778772125493,1778772125593,3613119,630306,2705862
3,0,0,795,286,394,1778772127487,1778772127605,2400190,802833,1268473
4,0,0,732,284,355,1778772129489,1778772129613,1552023,419468,1003695
5,0,0,720,278,335,1778772131495,1778772131564,1323252,330778,882391
6,0,1,1000,426,400,1778772133503,1778772133615,2065064,683194,1145440
7,0,0,805,380,287,1778772135496,1778772135595,1449251,522411,737332
8,0,0,639,350,160,1778772137489,1778772137586,1565563,765286,546870
9,0,0,783,373,276,1778772139494,1778772139590,1310683,429178,739048
10,0,622,1000,674,0,1778773206674,1778773206808,2509882,1648851,0
11,0,494,1000,232,668,1778773208603,1778773209050,4175511,723759,3132365
12,0,110,644,310,211,1778773210578,1778773210851,2090398,957975,746413
13,0,273,686,284,309,1778773212593,1778773212846,2017363,494371,1369509
14,0,287,693,278,308,1778773214569,1778773214867,1960253,424097,1390146
15,0,230,997,426,397,1778773216581,1778773216750,2658141,752826,1640532
16,0,0,924,380,406,1778773218582,1778773218710,2288407,573025,1507432
17,0,906,1000,674,0,1779156167007,1779156167146,2649175,1742280,0
18,0,578,1000,265,619,1779156168862,1779156169073,3896047,719922,2856266
19,0,234,640,277,256,1779156170843,1779156171013,2139631,835692,975518
20,0,377,678,284,301,1779156172858,1779156173066,1981476,482865,1348951
21,0,403,693,278,308,1779156174864,1779156175062,1922023,392677,1395495
22,0,415,1000,424,403,1779156176874,1779156177045,2687205,745639,1679981
23,0,255,933,382,412,1779156178870,1779156179037,2339750,582361,1545218
24,0,181,734,350,255,1779156180939,1779156181072,2068811,824187,969610
25,0,281,688,373,181,1779156182905,1779156183026,1247160,472715,616357
